"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Dammer et al.","P21757","MSR1","Macrophage scavenger receptor types I and II","SL004580","MSR1.15533.97",NA,0.910500523191935,35,3.32318639831749e-14,NA,"Strong correlation","Pearson","OID21063",0.422832980972516,44,0.00455120567820097,0.006579143675658,"Weak correlation","Spearman"
"Dammer et al.","P55291","CDH15","Cadherin-15","SL007295","CDH15.11215.6",NA,-0.0127255986913291,34,0.943055819576893,NA,"No correlation","Pearson","OID21005",0.461290322580645,31,0.00964343267043488,0.0134745488674765,"Weak correlation","Spearman"
"Dammer et al.","Q14242","SELPLG","P-selectin glycoprotein ligand 1","SL007418","SELPLG.11266.8",NA,-0.0171916422898502,35,0.921916016678431,NA,"No correlation","Pearson","OID20560",0.0673981191222571,88,0.53198639646856,0.581988993811051,"No correlation","Spearman"
"Dammer et al.","Q6UXK5","LRRN1","Leucine-rich repeat neuronal protein 1","SL015032","LRRN1.11293.14",NA,0.347271570841728,35,0.0409558169089452,NA,"Weak correlation","Pearson","OID20438",0.768125321963884,88,2.47505238296681e-18,7.31501083866368e-18,"Strong correlation","Spearman"
"Dammer et al.","Q8NFT8","DNER","Delta and Notch-like epidermal growth factor-related receptor","SL008968","DNER.9769.48",NA,0.569088742594729,33,0.000548121685042299,NA,"Moderate correlation","Pearson","OID20712",0.66859409247469,66,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P07237","P4HB","Protein disulfide-isomerase","SL004901","P4HB.11450.110",NA,0.736532883143099,35,4.5606525369187e-07,NA,"Strong correlation","Pearson","OID21509",0.537153222651567,88,6.83183853640801e-08,1.48045023178592e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q8TDQ0","HAVCR2","Hepatitis A virus cellular receptor 2","SL007547","HAVCR2.5134.52",NA,0.658544477863545,35,1.70348938574563e-05,NA,"Moderate correlation","Pearson","OID21137",0.735714285714286,64,0,0,"Strong correlation","Spearman"
"Dammer et al.","P08581","MET","Hepatocyte growth factor receptor","SL000134","MET.2837.3",NA,0.696843264369003,35,3.31540570192014e-06,NA,"Moderate correlation","Pearson","OID20269",0.536334297556788,88,7.21463861118698e-08,1.56040746973757e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q08345","DDR1","Epithelial discoidin domain-containing receptor 1","SL004119","DDR1.11836.144",NA,0.759099078139731,35,1.25315813175186e-07,NA,"Strong correlation","Pearson","OID21009",0.53001428950796,78,9.15098076652018e-07,1.80304664666689e-06,"Moderate correlation","Spearman"
"Dammer et al.","P01133","EGF","Pro-epidermal growth factor","SL000084","EGF.5509.7",NA,0.884709348744605,35,1.77969174329036e-12,NA,"Strong correlation","Pearson","OID20698",-0.151515151515151,10,0.681807643477163,0.722780121582833,"No correlation","Spearman"
"Dammer et al.","Q07960","ARHGAP1","Rho GTPase-activating protein 1","SL008179","ARHGAP1.9815.5",NA,0.945765259267344,35,1.1161685904272e-17,NA,"Strong correlation","Pearson","OID21202",0.613838892606812,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","O14793","MSTN","Growth/differentiation factor 8","SL004357","MSTN.12077.32",NA,0.727305536543696,35,7.45540953239512e-07,NA,"Strong correlation","Pearson","OID20115",0.741256031841077,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O43915","VEGFD","Vascular endothelial growth factor D","SL003320","VEGFD.13098.93",NA,0.55363835600308,35,0.000560486784309381,NA,"Moderate correlation","Pearson","OID20662",0.703349282296651,76,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9H4F8","SMOC1","SPARC-related modular calcium-binding protein 1","SL011888","SMOC1.13118.5",NA,0.696115563781089,34,4.84400411879169e-06,NA,"Moderate correlation","Pearson","OID21461",0.539393939393939,10,0.113298067042129,0.141184898113205,"Moderate correlation","Spearman"
"Dammer et al.","Q8TEU8","WFIKKN2","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2","SL010391","WFIKKN2.13408.23",NA,0.831093494958922,35,6.38607140274852e-10,NA,"Strong correlation","Pearson","OID20785",0.500205058099795,76,5.70764565749019e-06,1.04950031715088e-05,"Moderate correlation","Spearman"
"Dammer et al.","P09211","GSTP1","Glutathione S-transferase P","SL003643","GSTP1.4911.49",NA,0.341689822600433,34,0.0479472648093833,NA,"Weak correlation","Pearson","OID20876",0.254270719594238,88,0.0170418028397373,0.0232089208758304,"No correlation","Spearman"
"Dammer et al.","Q9NRA1","PDGFC","Platelet-derived growth factor C","SL011071","PDGFC.13658.31",NA,0.348054128532214,35,0.0404724775406509,NA,"Weak correlation","Pearson","OID21183",0.0452257987826175,88,0.675651996221764,0.717602167200726,"No correlation","Spearman"
"Dammer et al.","Q06418","TYRO3","Tyrosine-protein kinase receptor TYRO3","SL004136","TYRO3.2611.72",NA,0.249464088639133,35,0.148397833792018,NA,"No correlation","Pearson","OID20161",0.190868079289132,76,0.0985913917459071,0.12422955500126,"No correlation","Spearman"
"Dammer et al.","Q01344","IL5RA","Interleukin-5 receptor subunit alpha","SL005188","IL5RA.13686.2",NA,0.887782222985525,35,1.16689952366394e-12,NA,"Strong correlation","Pearson","OID20601",0.496503496503497,12,0.104092832873526,0.130869497009144,"Weak correlation","Spearman"
"Dammer et al.","Q14515","SPARCL1","SPARC-like protein 1","SL005488","SPARCL1.4467.49",NA,0.671637025978138,35,9.9981263683079e-06,NA,"Moderate correlation","Pearson","OID20361",0.706406547885347,88,1.48659002038188e-14,4.15435676487907e-14,"Strong correlation","Spearman"
"Dammer et al.","Q15485","FCN2","Ficolin-2","SL006542","FCN2.13717.15",NA,0.922087167744886,35,3.6835394570641e-15,NA,"Strong correlation","Pearson","OID20382",0.596685569370575,88,8.58976760324772e-10,2.17440529687594e-09,"Moderate correlation","Spearman"
"Dammer et al.","P24158","PRTN3","Myeloblastin","SL004008","PRTN3.3514.49",NA,0.572506256818868,35,0.000325908379562582,NA,"Moderate correlation","Pearson","OID20329",0.670977443609022,76,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P53634","CTSC","Dipeptidyl peptidase 1","SL007280","CTSC.13730.18",NA,0.732204669005425,35,5.75735485357396e-07,NA,"Strong correlation","Pearson","OID20679",0.305730689302948,88,0.00390696898962268,0.00569157159907613,"Weak correlation","Spearman"
"Dammer et al.","P08833","IGFBP1","Insulin-like growth factor-binding protein 1","SL000462","IGFBP1.13741.36",NA,0.987914098288605,35,2.66400126280015e-28,NA,"Strong correlation","Pearson","OID20246",0.868485944435311,78,0,0,"Strong correlation","Spearman"
"Dammer et al.","P23280","CA6","Carbonic anhydrase 6","SL010288","CA6.3352.80",NA,0.963426116066376,35,1.91285984827831e-20,NA,"Strong correlation","Pearson","OID21096",0.900003522242965,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P28838","LAP3","Cytosol aminopeptidase","SL000499","LAP3.15610.72",NA,0.79118654030259,35,1.53749914562926e-08,NA,"Strong correlation","Pearson","OID20436",0.556373498643937,88,3.22673915640938e-08,7.22815180076625e-08,"Moderate correlation","Spearman"
"Dammer et al.","O75594","PGLYRP1","Peptidoglycan recognition protein 1","SL004515","PGLYRP1.3329.14",NA,0.625425875466936,35,5.88751894703355e-05,NA,"Moderate correlation","Pearson","OID20338",0.746891620583988,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P22748","CA4","Carbonic anhydrase 4","SL010369","CA4.14069.61",NA,0.611917421139729,35,9.38230075116376e-05,NA,"Moderate correlation","Pearson","OID20241",0.210495555077056,58,0.112644185161313,0.140525176847649,"No correlation","Spearman"
"Dammer et al.","P24592","IGFBP6","Insulin-like growth factor-binding protein 6","SL005172","IGFBP6.2686.67",NA,0.708966071848392,35,1.87234787485228e-06,NA,"Strong correlation","Pearson","OID20413",0.820682610686485,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P01137","TGFB1","Transforming growth factor beta-1 proprotein","SL000584","TGFB1.14108.15",NA,0.844092603398758,33,6.76498632291379e-10,NA,"Strong correlation","Pearson","OID20621",0.53756472121447,88,1.10128955448564e-07,2.35930912146923e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q16663","CCL15","C-C motif chemokine 15","SL003190","CCL15.18289.16",NA,0.94799070028021,35,5.68487658133148e-18,NA,"Strong correlation","Pearson","OID20328",0.755466128962129,88,1.81563778749885e-17,5.29678310616588e-17,"Strong correlation","Spearman"
"Dammer et al.","P09486","SPARC","SPARC","SL000532","SPARC.3043.49",NA,0.783813841871746,35,2.5681626094188e-08,NA,"Strong correlation","Pearson","OID21511",0.896622168997218,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P35442","THBS2","Thrombospondin-2","SL007206","THBS2.3339.33",NA,0.754103071437396,35,1.68780950466241e-07,NA,"Strong correlation","Pearson","OID21104",0.389249556413736,66,0.00133841116118995,0.0020502933527591,"Weak correlation","Spearman"
"Dammer et al.","P26447","S100A4","Protein S100-A4","SL004821","S100A4.14116.129",NA,0.645800248509135,35,2.79357012047287e-05,NA,"Moderate correlation","Pearson","OID21519",0.812722341587123,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P27930","IL1R2","Interleukin-1 receptor type 2","SL000145","IL1R2.14133.93",NA,0.890074076475307,35,8.44930542663388e-13,NA,"Strong correlation","Pearson","OID20757",0.63497235039273,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q86SJ2","AMIGO2","Amphoterin-induced protein 2","SL015046","AMIGO2.14134.49",NA,0.720366562109011,35,1.06523184198958e-06,NA,"Strong correlation","Pearson","OID21370",0.395283716670776,88,0.000155884751299027,0.000260345982568938,"Weak correlation","Spearman"
"Dammer et al.","Q15828","CST6","Cystatin-M","SL004438","CST6.3303.23",NA,0.926019903743549,35,1.61447825783163e-15,NA,"Strong correlation","Pearson","OID20293",0.896710225071326,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P13598","ICAM2","Intercellular adhesion molecule 2","SL003177","ICAM2.14756.29",NA,0.284572436812584,35,0.0975460198115897,NA,"No correlation","Pearson","OID20248",0.633404952273608,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P12830","CDH1","Cadherin-1","SL000055","CDH1.18429.10",NA,0.373898072875209,35,0.0269236427435743,NA,"Weak correlation","Pearson","OID20353",0.706350604064669,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q14696","MESD","LRP chaperone MESD","SL012502","MESD.15299.102",NA,0.926348314204511,35,1.50393374496136e-15,NA,"Strong correlation","Pearson","OID21099",0.82327145926526,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q06141","REG3A","Regenerating islet-derived protein 3-alpha","SL002648","REG3A.15304.1",NA,0.705560551050634,35,2.20463190439477e-06,NA,"Strong correlation","Pearson","OID20258",0.895238095238095,64,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15086","CPB1","Carboxypeptidase B","SL011428","CPB1.15375.49",NA,0.961741197176662,35,3.97182185897724e-20,NA,"Strong correlation","Pearson","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15090","FABP4","Fatty acid-binding protein, adipocyte","SL005086","FABP4.9851.9",NA,0.945837048433909,35,1.09262651415855e-17,NA,"Strong correlation","Pearson","OID20245",0.88827445317178,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O60462","NRP2","Neuropilin-2","SL005203","NRP2.6590.54",NA,0.213503399848505,35,0.218139556148728,NA,"No correlation","Pearson","OID21081",0.603691343154531,88,4.78657108962196e-10,1.22540561455401e-09,"Moderate correlation","Spearman"
"Dammer et al.","P12931","SRC","Proto-oncogene tyrosine-protein kinase Src","SL005268","SRC.15433.4",NA,0.223352184957293,35,0.197138846238229,NA,"No correlation","Pearson","OID21521",0.903930823148181,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P21589","NT5E","5'-nucleotidase","SL000246","NT5E.15452.5",NA,0.841795255634091,35,2.35951214432655e-10,NA,"Strong correlation","Pearson","OID21498",0.777361585782638,76,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q13444","ADAM15","Disintegrin and metalloproteinase domain-containing protein 15","SL017116","ADAM15.15455.40",NA,0.129439646622474,34,0.465632773430396,NA,"No correlation","Pearson","OID20109",0.263344621835188,53,0.0570177923974994,0.0735517122938091,"No correlation","Spearman"
"Dammer et al.","P01732","CD8A","T-cell surface glycoprotein CD8 alpha chain","SL007072","CD8A.15462.28",NA,0.841147496891948,33,8.84864541884381e-10,NA,"Strong correlation","Pearson","OID21018",0.651948051948052,21,0.00176690886614429,0.00268123670682379,"Moderate correlation","Spearman"
"Dammer et al.","Q86VZ4","LRP11","Low-density lipoprotein receptor-related protein 11","SL017588","LRP11.15472.16",NA,0.870527679305998,35,1.0815698561149e-11,NA,"Strong correlation","Pearson","OID20185",0.328003201950212,54,0.0154640359858415,0.0211879813446785,"Weak correlation","Spearman"
"Dammer et al.","P55058","PLTP","Phospholipid transfer protein","SL004948","PLTP.15475.4",NA,0.380580269942705,35,0.0241080933869994,NA,"Weak correlation","Pearson","OID20238",0.681730125744074,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P23141","CES1","Liver carboxylesterase 1","SL006149","CES1.15487.164",NA,0.615188405741964,35,8.39765465812314e-05,NA,"Moderate correlation","Pearson","OID20244",0.909901024972703,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P41439","FOLR3","Folate receptor gamma","SL012435","FOLR3.15495.9",NA,0.761325775325622,35,1.09488914652284e-07,NA,"Strong correlation","Pearson","OID21485",0.687182382834557,22,0.000577339466106453,0.000906559467641427,"Moderate correlation","Spearman"
"Dammer et al.","Q16651","PRSS8","Prostasin","SL003260","PRSS8.15513.108",NA,0.615842273927816,35,8.21236521329925e-05,NA,"Moderate correlation","Pearson","OID20763",0.674165457184325,53,9.75278052415381e-08,2.10533254527144e-07,"Moderate correlation","Spearman"
"Dammer et al.","P20062","TCN2","Transcobalamin-2","SL003335","TCN2.5584.21",NA,0.835458373245187,35,4.29123680563067e-10,NA,"Strong correlation","Pearson","OID20341",0.52897044838153,88,1.87282674332654e-07,3.89396205012092e-07,"Moderate correlation","Spearman"
"Dammer et al.","P08887","IL6R","Interleukin-6 receptor subunit alpha","SL001943","IL6R.8092.29",NA,0.932454676572239,35,3.77613258208974e-16,NA,"Strong correlation","Pearson","OID20385",0.653217568947906,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P12644","BMP4","Bone morphogenetic protein 4","SL003996","BMP4.15667.39",NA,0.685459051131407,35,5.53178459205195e-06,NA,"Moderate correlation","Pearson","OID20994",0.733333333333333,9,0.0311232363315697,0.0414364785593657,"Strong correlation","Spearman"
"Dammer et al.","P55103","INHBC","Inhibin beta C chain","SL007288","INHBC.6408.2",NA,0.789248205620913,35,1.76295840846516e-08,NA,"Strong correlation","Pearson","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Dammer et al.","P35916","FLT4","Vascular endothelial growth factor receptor 3","SL003322","FLT4.2358.19",NA,0.890895967274198,35,7.51250348290661e-13,NA,"Strong correlation","Pearson","OID21491",0.734088267408686,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9BXR6","CFHR5","Complement factor H-related protein 5","SL006830","CFHR5.7885.17",NA,0.843710247215067,35,1.95924626998331e-10,NA,"Strong correlation","Pearson","OID30716",0.737085419177916,88,2.66806089425404e-16,7.60666855962831e-16,"Strong correlation","Spearman"
"Dammer et al.","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor","SL003679","IGF2R.16057.6",NA,0.822367484084369,35,1.36830069682041e-09,NA,"Strong correlation","Pearson","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Dammer et al.","Q14112","NID2","Nidogen-2","SL008193","NID2.16060.99",NA,0.82766360852346,35,8.65982161200279e-10,NA,"Strong correlation","Pearson","OID21085",0.459599873199253,88,8.48121052222667e-06,1.53450107044774e-05,"Weak correlation","Spearman"
"Dammer et al.","O75791","GRAP2","GRB2-related adapter protein 2","SL005725","GRAP2.16074.12",NA,0.790056074942081,35,1.66551589713356e-08,NA,"Strong correlation","Pearson","OID20192",0.669811902559359,46,8.38030821208944e-07,1.65988911779807e-06,"Moderate correlation","Spearman"
"Dammer et al.","P55285","CDH6","Cadherin-6","SL004865","CDH6.3591.51",NA,-0.0147289800266404,35,0.933074211559738,NA,"No correlation","Pearson","OID20157",0.743633545841992,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15121","AKR1B1","Aldo-keto reductase family 1 member B1","SL003659","AKR1B1.9854.36",NA,0.96075104105372,35,6.01019584966282e-20,NA,"Strong correlation","Pearson","OID21244",0.52710365961044,88,2.09749632957917e-07,4.33713068881846e-07,"Moderate correlation","Spearman"
"Dammer et al.","P51858","HDGF","Hepatoma-derived growth factor","SL013046","HDGF.8953.47",NA,0.907011207474935,35,6.08243154381532e-14,NA,"Strong correlation","Pearson","OID21455",0.413480724718653,67,0.000562916596214544,0.000886377736577712,"Weak correlation","Spearman"
"Dammer et al.","Q99497","PARK7","Parkinson disease protein 7","SL008933","PARK7.19523.215",NA,0.954282710335767,35,7.09784804478254e-19,NA,"Strong correlation","Pearson","OID21160",0.900655137191364,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P00533","EGFR","Epidermal growth factor receptor","SL002644","EGFR.2677.1",NA,0.644352081521981,35,2.95087562349919e-05,NA,"Moderate correlation","Pearson","OID20319",0.589071312531301,88,1.56869165052394e-09,3.87538921978453e-09,"Moderate correlation","Spearman"
"Dammer et al.","P35247","SFTPD","Pulmonary surfactant-associated protein D","SL004484","SFTPD.19590.46",NA,0.394344593836165,35,0.0190711863548751,NA,"Weak correlation","Pearson","OID20214",0.579461801275052,88,5.70619261565151e-09,1.3393537345261e-08,"Moderate correlation","Spearman"
"Dammer et al.","P15085","CPA1","Carboxypeptidase A1","SL009336","CPA1.19760.26",NA,0.38909547739871,35,0.0208772369134371,NA,"Weak correlation","Pearson","OID20280",0.914439938897679,88,1.53731697885867e-35,4.91680132898425e-35,"Strong correlation","Spearman"
"Dammer et al.","Q12866","MERTK","Tyrosine-protein kinase Mer","SL004873","MERTK.19787.14",NA,0.158778425407464,35,0.362279920620334,NA,"No correlation","Pearson","OID20657",0.2421718150118,88,0.0232350406538433,0.0314536701417135,"No correlation","Spearman"
"Dammer et al.","P19320","VCAM1","Vascular cell adhesion protein 1","SL001720","VCAM1.20093.9",NA,0.80357141473225,35,6.19259369586176e-09,NA,"Strong correlation","Pearson","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UEW3","MARCO","Macrophage receptor MARCO","SL018780","MARCO.20134.27",NA,0.469154883644761,35,0.00446836237897671,NA,"Weak correlation","Pearson","OID20210",0.65490824557078,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P13591","NCAM1","Neural cell adhesion molecule 1","SL003764","NCAM1.4498.62",NA,0.760311505571796,35,1.16454610074936e-07,NA,"Strong correlation","Pearson","OID20354",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Dammer et al.","Q9UKX5","ITGA11","Integrin alpha-11","SL022706","ITGA11.ITGB1.21698.11",NA,0.579374888022185,35,0.000265333928877399,NA,"Moderate correlation","Pearson","OID20581",0.731164805748301,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P06756","ITGAV","Integrin alpha-V","SL002726","ITGAV.ITGB3.20187.10",NA,0.802346137133839,35,6.79470829313066e-09,NA,"Strong correlation","Pearson","OID21416",0.696834810487234,88,4.69816182231669e-14,1.2874331789795e-13,"Moderate correlation","Spearman"
"Dammer et al.","Q96AP7","ESAM","Endothelial cell-selective adhesion molecule","SL005160","ESAM.2981.9",NA,0.836854727837511,35,3.76956696417633e-10,NA,"Strong correlation","Pearson","OID20270",0.588992061715677,88,1.57856464264046e-09,3.88278754148383e-09,"Moderate correlation","Spearman"
"Dammer et al.","Q6UXG3","CD300LG","CMRF35-like molecule 9","SL017494","CD300LG.20585.5",NA,0.939182611508361,35,7.03340788736019e-17,NA,"Strong correlation","Pearson","OID21130",0.818181818181818,10,0.0068111327718268,0.00966051369270409,"Strong correlation","Spearman"
"Dammer et al.","P06748","NPM1","Nucleophosmin","SL001735","NPM1.21244.57",NA,0.775789998060321,34,7.0611952780715e-08,NA,"Strong correlation","Pearson","OID20961",-0.111888111888112,12,0.732775446034506,0.767442930030573,"No correlation","Spearman"
"Dammer et al.","P08648","ITGA5","Integrin alpha-5","SL017984","ITGA5.6932.42",NA,0.47648726421734,35,0.00380749804596885,NA,"Weak correlation","Pearson","OID21139",0.393751540981297,88,0.00016599639176763,0.000276415820509814,"Weak correlation","Spearman"
"Dammer et al.","P23229","ITGA6","Integrin alpha-6","SL004570","ITGA6.21979.12",NA,0.678241842579874,35,7.56454640922173e-06,NA,"Moderate correlation","Pearson","OID20528",0.366912049593181,88,0.000476887402584969,0.000758318137349901,"Weak correlation","Spearman"
"Dammer et al.","P42768","WAS","Actin nucleation-promoting factor WAS","SL022551","WAS.22033.32",NA,0.826557053059053,35,9.54044283243749e-10,NA,"Strong correlation","Pearson","OID20479",0.428430465618255,46,0.00321909020635547,0.0047507880300331,"Weak correlation","Spearman"
"Dammer et al.","P01033","TIMP1","Metalloproteinase inhibitor 1","SL000591","TIMP1.25967.34",NA,0.656983273573006,35,1.81214948966148e-05,NA,"Moderate correlation","Pearson","OID20418",0.790708323060125,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9NNX6","CD209","CD209 antigen","SL005157","CD209.3029.52",NA,0.905267230008657,35,8.15547321805624e-14,NA,"Strong correlation","Pearson","OID20262",0.539061674474305,88,1.00232035645388e-07,2.15957954663442e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q9HCK4","ROBO2","Roundabout homolog 2","SL007680","ROBO2.22578.17",NA,0.819000490159323,35,1.81604108770531e-09,NA,"Strong correlation","Pearson","OID21007",0.645470383275261,41,8.77907114881852e-06,1.58331810335721e-05,"Moderate correlation","Spearman"
"Dammer et al.","P18065","IGFBP2","Insulin-like growth factor-binding protein 2","SL000466","IGFBP2.22985.160",NA,0.946627212343591,35,8.62444149371697e-18,NA,"Strong correlation","Pearson","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q14118","DAG1","Dystroglycan 1","SL004979","DAG1.23176.17",NA,0.397552958587812,35,0.018032841482351,NA,"Weak correlation","Pearson","OID20774",-0.0562326089253637,88,0.602164343275546,0.6480872674529,"No correlation","Spearman"
"Dammer et al.","P13501","CCL5","C-C motif chemokine 5","SL000563","CCL5.5480.49",NA,0.730493348283291,35,6.30529821144172e-07,NA,"Strong correlation","Pearson","OID20412",0.780564263322884,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P41159","LEP","Leptin","SL000498","LEP.8484.24",NA,0.986680137226604,35,1.31291764273791e-27,NA,"Strong correlation","Pearson","OID20187",0.92231693142193,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q01973","ROR1","Inactive tyrosine-protein kinase transmembrane receptor ROR1","SL006114","ROR1.8474.6",NA,0.891025234449866,35,7.37429884178522e-13,NA,"Strong correlation","Pearson","OID20224",0.302477184020904,44,0.0459702689535905,0.0600699463525505,"Weak correlation","Spearman"
"Dammer et al.","P24821","TNC","Tenascin","SL003198","TNC.5675.6",NA,0.698515987606376,35,3.06913007619722e-06,NA,"Moderate correlation","Pearson","OID20359",0.567964178636843,88,7.87209763297837e-09,1.82872391515074e-08,"Moderate correlation","Spearman"
