"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Petrera et al.","Q96KN2","CNDP1","Beta-Ala-His dipeptidase","OID01299",0.375457796337629,171,5.14141102044554e-07,9.6122032121373e-07,"Weak correlation","Spearman","OID20347",0.878183227079004,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P49747","COMP","Cartilage oligomeric matrix protein","OID01274",0.638608491132071,171,0,0,"Moderate correlation","Spearman","OID20405",0.73269698143778,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","Q9NQ79","CRTAC1","Cartilage acidic protein 1","OID01304",0.578421772625819,171,0,0,"Moderate correlation","Spearman","OID20279",0.76487603852331,88,4.17715108520819e-18,1.22812593104168e-17,"Strong correlation","Spearman"
"Petrera et al.","P01034","CST3","Cystatin-C","OID01225",0.0215078630897317,47,0.885747776463378,0.885747776463378,"No correlation","Spearman","OID20400",0.727202282413441,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","Q12805","EFEMP1","EGF-containing fibulin-like extracellular matrix protein 1","OID01281",0.209486996293379,170,0.00619591275672026,0.00807346207693852,"No correlation","Spearman","OID20414",0.526592934380614,88,2.16326801240494e-07,4.46495353931478e-07,"Moderate correlation","Spearman"
"Petrera et al.","P03951","F11","Coagulation factor XI","OID01227",0.518422252621979,171,0,0,"Moderate correlation","Spearman","OID30773",0.643771986604046,88,1.32883790004782e-11,3.56355816901185e-11,"Moderate correlation","Spearman"
"Petrera et al.","P08709","F7","Coagulation factor VII","OID01239",0.399924635987586,162,1.7353234650982e-07,3.39176859087376e-07,"Weak correlation","Spearman","OID20372",0.726445000176112,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","Q15485","FCN2","Ficolin-2","OID01290",0.749960400316798,171,0,0,"Strong correlation","Spearman","OID20382",0.596685569370575,88,8.58976760324772e-10,2.17440529687594e-09,"Moderate correlation","Spearman"
"Petrera et al.","Q9UGM5","FETUB","Fetuin-B","OID01305",0.285194518443853,171,0.000165980373164954,0.000254898430217608,"No correlation","Spearman","OID20404",0.84651826282977,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P07359","GP1BA","Platelet glycoprotein Ib alpha chain","OID01234",0.429908560731514,171,6.30539858967361e-09,1.2911054255046e-08,"Weak correlation","Spearman","OID20381",0.625286182240851,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","P13598","ICAM2","Intercellular adhesion molecule 2","OID00646",0.225213047311196,165,0.00370221905145044,0.00497485685038653,"No correlation","Spearman","OID20248",0.633404952273608,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","P17936","IGFBP3","Insulin-like growth factor-binding protein 3","OID01255",0.533762006827022,170,0,0,"Moderate correlation","Spearman","OID20398",0.715332323623684,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P24592","IGFBP6","Insulin-like growth factor-binding protein 6","OID01264",0.51096512935883,126,1.51292524090132e-09,3.42398870309246e-09,"Moderate correlation","Spearman","OID20413",0.820682610686485,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P55103","INHBC","Inhibin beta C chain","OID01414",0.586070152180262,173,0,0,"Moderate correlation","Spearman","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Petrera et al.","P01591","JCHAIN","Immunoglobulin J chain","OID05425",0.81758300846888,173,0,0,"Strong correlation","Spearman","OID20494",0.517382269028918,88,3.74323606837098e-07,7.6146189571006e-07,"Moderate correlation","Spearman"
"Petrera et al.","Q9Y5Y7","LYVE1","Lymphatic vessel endothelial hyaluronic acid receptor 1","OID01307",0.566624472850575,166,0,0,"Moderate correlation","Spearman","OID30728",0.759501250396253,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P11226","MBL2","Mannose-binding protein C","OID01243",0.914214006998003,170,0,0,"Strong correlation","Spearman","OID30759",0.97097218737595,88,3.29761006817605e-55,1.06371479056307e-54,"Strong correlation","Spearman"
"Petrera et al.","P13591","NCAM1","Neural cell adhesion molecule 1","OID01247",0.386722152976023,153,9.7140061917582e-07,1.67080906498241e-06,"Weak correlation","Spearman","OID20354",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Petrera et al.","Q15113","PCOLCE","Procollagen C-endopeptidase enhancer 1","OID01289",0.0410018552875696,99,0.686506128571994,0.719994232404774,"No correlation","Spearman","OID20384",0.752562431756543,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P01833","PIGR","Polymeric immunoglobulin receptor","OID00411",0.0881387515811225,173,0.248858823817196,0.281603405898406,"No correlation","Spearman","OID21102",0.546810608995809,88,6.10131582838174e-08,1.32724192104874e-07,"Moderate correlation","Spearman"
"Petrera et al.","Q13093","PLA2G7","Platelet-activating factor acetylhydrolase","OID01283",0.491465149359886,37,0.00226354933486595,0.00313976198062051,"Weak correlation","Spearman","OID21105",0.641045058714744,88,1.72435034628865e-11,4.61325009706134e-11,"Moderate correlation","Spearman"
"Petrera et al.","P55058","PLTP","Phospholipid transfer protein","OID01275",0.446504427964576,171,1.38043652708134e-09,3.29770948136098e-09,"Weak correlation","Spearman","OID20238",0.681730125744074,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","Q15166","PON3","Serum paraoxonase/lactonase 3","OID00642",0.769360718413799,162,0,0,"Strong correlation","Spearman","OID20777",0.821228558345955,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P04070","PROC","Vitamin K-dependent protein C","OID01228",0.324340605275158,171,1.67667578107395e-05,2.67026142911778e-05,"Weak correlation","Spearman","OID20402",0.649695325983586,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","Q99969","RARRES2","Retinoic acid receptor responder protein 2","OID00645",0.403425462760195,142,8.07607823294742e-07,1.44696401673641e-06,"Weak correlation","Spearman","OID20373",0.43300693881864,88,3.0213944262416e-05,5.3050611309903e-05,"Weak correlation","Spearman"
"Petrera et al.","P35542","SAA4","Serum amyloid A-4 protein","OID01269",0.686910504715962,171,0,0,"Moderate correlation","Spearman","OID30726",0.594554612377162,88,1.18094848691702e-09,2.9432468912347e-09,"Moderate correlation","Spearman"
"Petrera et al.","P05154","SERPINA5","Plasma serine protease inhibitor","OID01229",0.27495643081213,151,0.000662043159810422,0.000981650202477523,"No correlation","Spearman","OID30763",0.53349653059068,88,1.41878964898126e-07,2.99404395084082e-07,"Moderate correlation","Spearman"
"Petrera et al.","P05543","SERPINA7","Thyroxine-binding globulin","OID01232",0.432555739554084,171,4.9828014088207e-09,1.07130230289645e-08,"Weak correlation","Spearman","OID30724",0.654714522207742,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","P02786","TFRC","Transferrin receptor protein 1","OID00593",0.0464954039984981,173,0.543192243493819,0.598904268467544,"No correlation","Spearman","OID20369",0.611126765524286,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","Q15582","TGFBI","Transforming growth factor-beta-induced protein ig-h3","OID01291",0.466076271389829,171,1.91756585265782e-10,5.49702211095242e-10,"Weak correlation","Spearman","OID20417",0.53877989503716,88,1.02028607796297e-07,2.19410091813369e-07,"Moderate correlation","Spearman"
"Petrera et al.","P22105","TNXB","Tenascin-X","OID01260",0.271739130434783,23,0.208959450893151,0.249590455233486,"No correlation","Spearman","OID21107",0.630551935472509,88,0,0,"Moderate correlation","Spearman"
"Petrera et al.","Q6EMK4","VASN","Vasorin","OID01295",0.138278520849725,124,0.125522385368375,0.154213216309718,"No correlation","Spearman","OID20345",0.469514987143813,88,5.1480070908229e-06,9.48140294541445e-06,"Weak correlation","Spearman"
"Petrera et al.","P04275","VWF","von Willebrand factor","OID00651",0.231582521509767,173,0.00217163668516201,0.00311267924873222,"No correlation","Spearman","OID20256",0.714275650734388,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q14515","SPARCL1","SPARC-like protein 1",NA,0.617667442,36,5.98e-05,NA,"Moderate correlation","Pearson","OID20361",0.706406547885347,88,1.48659002038188e-14,4.15435676487907e-14,"Strong correlation","Spearman"
"Dammer et al.","P98160","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein",NA,0.255524791,36,0.132545814,NA,"No correlation","Pearson","OID20383",0.235585220668522,88,0.0273535573903237,0.0366336492214418,"No correlation","Spearman"
"Dammer et al.","Q07954","LRP1","Prolow-density lipoprotein receptor-related protein 1",NA,0.333776818,36,0.046651732,NA,"Weak correlation","Pearson","OID21293",0.462417667570709,88,7.3700071911736e-06,1.34205453529597e-05,"Weak correlation","Spearman"
"Dammer et al.","Q12860","CNTN1","Contactin-1",NA,0.719840188,36,7.49e-07,NA,"Strong correlation","Pearson","OID20307",0.851814183262559,88,7.12213337470619e-26,2.21512082094856e-25,"Strong correlation","Spearman"
"Dammer et al.","P04275","VWF","von Willebrand factor",NA,0.450161835,36,0.005871708,NA,"Weak correlation","Pearson","OID20256",0.714275650734388,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P22105","TNXB","Tenascin-X",NA,0.458950645,36,0.004870582,NA,"Weak correlation","Pearson","OID21107",0.630551935472509,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P06681","C2","Complement C2",NA,0.625001116,36,4.6e-05,NA,"Moderate correlation","Pearson","OID20410",0.586737816293491,88,1.88564942626181e-09,4.58814267726203e-09,"Moderate correlation","Spearman"
"Dammer et al.","P13591","NCAM1","Neural cell adhesion molecule 1",NA,0.574768211,36,0.000246039,NA,"Moderate correlation","Pearson","OID20354",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Dammer et al.","O94985","CLSTN1","Calsyntenin-1",NA,-0.009054467,35,0.958829475,NA,"No correlation","Pearson","OID20874",0.207301609665035,88,0.0527784232101329,0.0684906204646437,"No correlation","Spearman"
"Dammer et al.","P10451","SPP1","Osteopontin",NA,0.10774316,29,0.577994657,NA,"No correlation","Pearson","OID20322",0.754675777535135,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q96KN2","CNDP1","Beta-Ala-His dipeptidase",NA,0.816884206,36,1.23e-09,NA,"Strong correlation","Pearson","OID20347",0.878183227079004,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9NQ79","CRTAC1","Cartilage acidic protein 1",NA,0.65889886,36,1.25e-05,NA,"Moderate correlation","Pearson","OID20279",0.76487603852331,88,4.17715108520819e-18,1.22812593104168e-17,"Strong correlation","Spearman"
"Dammer et al.","P05067","APP","Amyloid-beta precursor protein",NA,0.812273892,29,8.78e-08,NA,"Strong correlation","Pearson","OID21070",0.393399316684865,88,0.00016840529372438,0.00028001410399827,"Weak correlation","Spearman"
"Dammer et al.","P02760","AMBP","Protein AMBP",NA,0.226209916,36,0.18463048,NA,"No correlation","Pearson","OID21413",0.600736148779543,88,3.78390427280295e-10,9.73127089748184e-10,"Moderate correlation","Spearman"
"Dammer et al.","O75326","SEMA7A","Semaphorin-7A",NA,0.127152191,14,0.664892158,NA,"No correlation","Pearson","OID20283",0.717813020113597,88,3.54766242189692e-15,9.96345988637218e-15,"Strong correlation","Spearman"
"Dammer et al.","Q15582","TGFBI","Transforming growth factor-beta-induced protein ig-h3",NA,0.536050846,36,0.00075258,NA,"Moderate correlation","Pearson","OID20417",0.53877989503716,88,1.02028607796297e-07,2.19410091813369e-07,"Moderate correlation","Spearman"
"Dammer et al.","P19021","PAM","Peptidyl-glycine alpha-amidating monooxygenase",NA,0.418675891,36,0.011042402,NA,"Weak correlation","Pearson","OID20291",0.20372653305625,88,0.0570693533829733,0.0735517122938091,"No correlation","Spearman"
"Dammer et al.","P14543","NID1","Nidogen-1",NA,0.314040756,36,0.062146826,NA,"Weak correlation","Pearson","OID20362",0.759659751329647,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P10586","PTPRF","Receptor-type tyrosine-protein phosphatase F",NA,0.264112484,36,0.119581319,NA,"No correlation","Pearson","OID20310",0.649043711035187,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q12805","EFEMP1","EGF-containing fibulin-like extracellular matrix protein 1",NA,0.465252653,36,0.00424682,NA,"Weak correlation","Pearson","OID20414",0.526592934380614,88,2.16326801240494e-07,4.46495353931478e-07,"Moderate correlation","Spearman"
"Dammer et al.","O15031","PLXNB2","Plexin-B2",NA,0.377479917,36,0.023228959,NA,"Weak correlation","Pearson","OID20317",0.580624141453278,88,5.16145756302416e-09,1.21655231495914e-08,"Moderate correlation","Spearman"
"Dammer et al.","P05543","SERPINA7","Thyroxine-binding globulin",NA,0.756876205,36,9.23e-08,NA,"Strong correlation","Pearson","OID30724",0.654714522207742,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q15113","PCOLCE","Procollagen C-endopeptidase enhancer 1",NA,0.653143434,36,1.57e-05,NA,"Moderate correlation","Pearson","OID20384",0.752562431756543,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor",NA,0.5239554,36,0.001038975,NA,"Moderate correlation","Pearson","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Dammer et al.","P01034","CST3","Cystatin-C",NA,0.477851719,36,0.003204108,NA,"Weak correlation","Pearson","OID20400",0.727202282413441,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P02452","COL1A1","Collagen alpha-1(I) chain",NA,0.661313994,36,1.13e-05,NA,"Moderate correlation","Pearson","OID20335",0.82172167236096,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P07339","CTSD","Cathepsin D",NA,0.730690034,36,4.2e-07,NA,"Strong correlation","Pearson","OID20358",0.780440984819133,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P24821","TNC","Tenascin",NA,0.561914296,36,0.000362103,NA,"Moderate correlation","Pearson","OID20359",0.567964178636843,88,7.87209763297837e-09,1.82872391515074e-08,"Moderate correlation","Spearman"
"Dammer et al.","P13611","VCAN","Versican core protein",NA,0.219006844,35,0.206223289,NA,"No correlation","Pearson","OID21026",0.596439012363073,88,8.93553234033021e-10,2.25183393130196e-09,"Moderate correlation","Spearman"
"Dammer et al.","O43505","B4GAT1","Beta-1,4-glucuronyltransferase 1",NA,0.501370513,29,0.005593029,NA,"Moderate correlation","Pearson","OID21127",0.473600788982424,88,4.17329383246211e-06,7.7749979155936e-06,"Weak correlation","Spearman"
"Dammer et al.","P03951","F11","Coagulation factor XI",NA,0.781242462,36,1.88e-08,NA,"Strong correlation","Pearson","OID30773",0.643771986604046,88,1.32883790004782e-11,3.56355816901185e-11,"Moderate correlation","Spearman"
"Dammer et al.","P36222","CHI3L1","Chitinase-3-like protein 1",NA,0.82284925,36,7.36e-10,NA,"Strong correlation","Pearson","OID20399",0.902786094184777,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q92876","KLK6","Kallikrein-6",NA,0.271367513,15,0.327902432,NA,"No correlation","Pearson","OID21526",0.505021419739229,88,5.22719659187551e-07,1.05196166706372e-06,"Moderate correlation","Spearman"
"Dammer et al.","Q8IWV2","CNTN4","Contactin-4",NA,0.170794148,36,0.319278492,NA,"No correlation","Pearson","OID21117",0.62438801028495,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P19022","CDH2","Cadherin-2",NA,0.530784305,28,0.003661609,NA,"Moderate correlation","Pearson","OID20170",0.652724454932901,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P24592","IGFBP6","Insulin-like growth factor-binding protein 6",NA,0.513132219,36,0.001372799,NA,"Moderate correlation","Pearson","OID20413",0.820682610686485,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P09104","ENO2","Gamma-enolase",NA,0.722337232,35,9.64e-07,NA,"Strong correlation","Pearson","OID21046",0.851202845972315,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q6YHK3","CD109","CD109 antigen",NA,0.559788519,36,0.000385418,NA,"Moderate correlation","Pearson","OID21108",0.75892008030714,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P19320","VCAM1","Vascular cell adhesion protein 1",NA,0.601515956,36,0.00010436,NA,"Moderate correlation","Pearson","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P32004","L1CAM","Neural cell adhesion molecule L1",NA,0.323235714,36,0.054486957,NA,"Weak correlation","Pearson","OID21484",0.585396780669931,88,3.33429056119666e-09,8.04361975126288e-09,"Moderate correlation","Spearman"
"Dammer et al.","Q9Y6N7","ROBO1","Roundabout homolog 1",NA,0.186596431,14,0.522995393,NA,"No correlation","Pearson","OID20734",0.577630234933606,88,6.65779384992703e-09,1.54982458898301e-08,"Moderate correlation","Spearman"
"Dammer et al.","P00915","CA1","Carbonic anhydrase 1",NA,0.913784191,36,7.36e-15,NA,"Strong correlation","Pearson","OID20409",0.928551301468776,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P55058","PLTP","Phospholipid transfer protein",NA,0.28585709,36,0.091011844,NA,"No correlation","Pearson","OID20238",0.681730125744074,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q14118","DAG1","Dystroglycan 1",NA,0.468212903,36,0.003978535,NA,"Weak correlation","Pearson","OID20774",-0.0562326089253637,88,0.602164343275546,0.6480872674529,"No correlation","Spearman"
"Dammer et al.","P49747","COMP","Cartilage oligomeric matrix protein",NA,0.506905031,36,0.00160489,NA,"Moderate correlation","Pearson","OID20405",0.73269698143778,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P48740","MASP1","Mannan-binding lectin serine protease 1",NA,0.157204412,36,0.359850706,NA,"No correlation","Pearson","OID20954",0.0373095228664233,88,0.73001150193464,0.766681847148101,"No correlation","Spearman"
"Dammer et al.","Q92520","FAM3C","Protein FAM3C",NA,0.441024285,35,0.008004941,NA,"Weak correlation","Pearson","OID20233",0.738772850551231,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15144","ANPEP","Aminopeptidase N",NA,0.76454012,36,5.71e-08,NA,"Strong correlation","Pearson","OID20350",0.684779880866244,88,1.88021937721082e-13,5.12745815669326e-13,"Moderate correlation","Spearman"
"Dammer et al.","P78324","SIRPA","Tyrosine-protein phosphatase non-receptor type substrate 1",NA,0.310806933,36,0.065034424,NA,"Weak correlation","Pearson","OID20304",0.380723443223443,64,0.00204709261358049,0.00306520896648856,"Weak correlation","Spearman"
"Dammer et al.","P05154","SERPINA5","Plasma serine protease inhibitor",NA,0.596635757,36,0.000122732,NA,"Moderate correlation","Pearson","OID30763",0.53349653059068,88,1.41878964898126e-07,2.99404395084082e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q14767","LTBP2","Latent-transforming growth factor beta-binding protein 2",NA,0.398136597,36,0.016177651,NA,"Weak correlation","Pearson","OID20254",0.477123031946744,88,3.47560155896387e-06,6.57278753780605e-06,"Weak correlation","Spearman"
"Dammer et al.","P14625","HSP90B1","Endoplasmin",NA,0.161927264,35,0.352714518,NA,"No correlation","Pearson","OID20829",-0.0624845901870311,88,0.562360988945579,0.612252224223296,"No correlation","Spearman"
"Dammer et al.","P00441","SOD1","Superoxide dismutase [Cu-Zn]",NA,0.479684494,36,0.003072733,NA,"Weak correlation","Pearson","OID20386",0.841353075600224,88,1.061430423071e-24,3.29218392210759e-24,"Strong correlation","Spearman"
"Dammer et al.","Q9HCB6","SPON1","Spondin-1",NA,0.373634062,29,0.045874201,NA,"Weak correlation","Pearson","OID20759",0.613454146804873,88,2.09407107075109e-10,5.4474798130829e-10,"Moderate correlation","Spearman"
"Dammer et al.","Q16270","IGFBP7","Insulin-like growth factor-binding protein 7",NA,0.543804231,36,0.000608116,NA,"Moderate correlation","Pearson","OID20236",0.60873432045217,88,3.13394291896222e-10,8.11518705391823e-10,"Moderate correlation","Spearman"
"Dammer et al.","Q10471","GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2",NA,0.454771159,36,0.005326582,NA,"Weak correlation","Pearson","OID21423",0.329877117210751,88,0.00169741883388978,0.00257925419039242,"Weak correlation","Spearman"
"Dammer et al.","P09486","SPARC","SPARC",NA,0.759782768,36,7.71e-08,NA,"Strong correlation","Pearson","OID21511",0.896622168997218,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P30086","PEBP1","Phosphatidylethanolamine-binding protein 1",NA,0.845362104,36,8.77e-11,NA,"Strong correlation","Pearson","OID21087",0.845532034799761,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P35443","THBS4","Thrombospondin-4",NA,0.34220593,36,0.041060943,NA,"Weak correlation","Pearson","OID20368",0.607674967419253,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P02745","C1QA","Complement C1q subcomponent subunit A",NA,0.382298966,36,0.021390193,NA,"Weak correlation","Pearson","OID20654",0.0964390123630728,88,0.370727892916208,0.419390572246893,"No correlation","Spearman"
"Dammer et al.","P00918","CA2","Carbonic anhydrase 2",NA,0.877600986,36,2.14e-12,NA,"Strong correlation","Pearson","OID21149",0.904194991370505,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O95445","APOM","Apolipoprotein M",NA,0.674191013,36,6.54e-06,NA,"Moderate correlation","Pearson","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P18065","IGFBP2","Insulin-like growth factor-binding protein 2",NA,0.636665604,36,2.99e-05,NA,"Moderate correlation","Pearson","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P09668","CTSH","Pro-cathepsin H",NA,0.342887485,35,0.043750538,NA,"Weak correlation","Pearson","OID20113",0.529058504455637,88,1.86281271303481e-07,3.88028699818506e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q9BXR6","CFHR5","Complement factor H-related protein 5",NA,0.676948016,36,5.8e-06,NA,"Moderate correlation","Pearson","OID30716",0.737085419177916,88,2.66806089425404e-16,7.60666855962831e-16,"Strong correlation","Spearman"
"Dammer et al.","Q02487","DSC2","Desmocollin-2",NA,0.34530823,36,0.039145118,NA,"Weak correlation","Pearson","OID21079",0.79748864076644,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q86SF2","GALNT7","N-acetylgalactosaminyltransferase 7",NA,0.353783044,13,0.235662515,NA,"Weak correlation","Pearson","OID21377",0.592353210524462,88,1.57379613819424e-09,3.87951056773209e-09,"Moderate correlation","Spearman"
"Dammer et al.","P07711","CTSL","Procathepsin L",NA,0.002533119,22,0.991073608,NA,"No correlation","Pearson","OID20228",-0.0619914761720264,88,0.565454362224961,0.615026950820791,"No correlation","Spearman"
"Dammer et al.","P30043","BLVRB","Flavin reductase (NADPH)",NA,0.749765736,36,1.42e-07,NA,"Strong correlation","Pearson","OID21141",0.887957451304991,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P07237","P4HB","Protein disulfide-isomerase",NA,0.793458751,36,7.84e-09,NA,"Strong correlation","Pearson","OID21509",0.537153222651567,88,6.83183853640801e-08,1.48045023178592e-07,"Moderate correlation","Spearman"
"Dammer et al.","O43707","ACTN4","Alpha-actinin-4",NA,0.255099534,36,0.13321378,NA,"No correlation","Pearson","OID20435",0.0312951287379804,88,0.771848035490566,0.803889697480488,"No correlation","Spearman"
"Dammer et al.","P39060","COL18A1","Collagen alpha-1(XVIII) chain",NA,0.457634207,36,0.005010427,NA,"Weak correlation","Pearson","OID20332",0.578951076045226,88,5.95966725746169e-09,1.39305679786216e-08,"Moderate correlation","Spearman"
"Dammer et al.","P23284","PPIB","Peptidyl-prolyl cis-trans isomerase B",NA,0.885317784,36,7.51e-13,NA,"Strong correlation","Pearson","OID20331",0.768553414814554,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P17936","IGFBP3","Insulin-like growth factor-binding protein 3",NA,0.734965894,36,3.32e-07,NA,"Strong correlation","Pearson","OID20398",0.715332323623684,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UGM5","FETUB","Fetuin-B",NA,0.853452765,36,3.76e-11,NA,"Strong correlation","Pearson","OID20404",0.84651826282977,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P09603","CSF1","Macrophage colony-stimulating factor 1",NA,0.158277029,12,0.623210736,NA,"No correlation","Pearson","OID20719",0.771529710119404,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q99497","PARK7","Parkinson disease protein 7",NA,0.894364358,36,2e-13,NA,"Strong correlation","Pearson","OID21160",0.900655137191364,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UM47","NOTCH3","Neurogenic locus notch homolog protein 3",NA,0.528164872,36,0.000929937,NA,"Moderate correlation","Pearson","OID20253",0.606723961818886,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P09211","GSTP1","Glutathione S-transferase P",NA,0.345016441,35,0.042374808,NA,"Weak correlation","Pearson","OID20876",0.254270719594238,88,0.0170418028397373,0.0232089208758304,"No correlation","Spearman"
"Dammer et al.","P35237","SERPINB6","Serpin B6",NA,0.865872306,20,8.12e-07,NA,"Strong correlation","Pearson","OID21023",0.747965904688106,88,0,0,"Strong correlation","Spearman"
