"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Dammer et al.","P08833","IGFBP1","Insulin-like growth factor-binding protein 1","SL000462","IGFBP1.2771.35",0.37725200739478,14,0.183610490044928,NA,"Weak correlation","Pearson","OID20246",0.868485944435311,78,0,0,"Strong correlation","Spearman"
"Dammer et al.","P23280","CA6","Carbonic anhydrase 6","SL010288","CA6.3352.80",0.861926139524517,28,3.80668638497961e-09,NA,"Strong correlation","Pearson","OID21096",0.900003522242965,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P28838","LAP3","Cytosol aminopeptidase","SL000499","LAP3.15610.72",0.724824443469811,28,1.28695696452757e-05,NA,"Strong correlation","Pearson","OID20436",0.556373498643937,88,3.22673915640938e-08,7.22815180076625e-08,"Moderate correlation","Spearman"
"Dammer et al.","Q9NPH3","IL1RAP","Interleukin-1 receptor accessory protein","SL004588","IL1RAP.14048.7",0.782196121294067,35,2.86657541294439e-08,NA,"Strong correlation","Pearson","OID21126",0.878204704865266,88,2.76336589376813e-29,8.66622248351173e-29,"Strong correlation","Spearman"
"Dammer et al.","O75594","PGLYRP1","Peptidoglycan recognition protein 1","SL004515","PGLYRP1.3329.14",0.563739659271953,14,0.0357663912511552,NA,"Moderate correlation","Pearson","OID20338",0.746891620583988,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q92484","SMPDL3A","Acid sphingomyelinase-like phosphodiesterase 3a","SL012754","SMPDL3A.14086.11",0.818785191818143,35,1.84884797514102e-09,NA,"Strong correlation","Pearson","OID20676",0.926596456623578,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P24592","IGFBP6","Insulin-like growth factor-binding protein 6","SL005172","IGFBP6.2686.67",0.441630925521557,35,0.00790886826081199,NA,"Weak correlation","Pearson","OID20413",0.820682610686485,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P29622","SERPINA4","Kallistatin","SL004876","SERPINA4.3449.58",0.614842833523395,35,8.49709337370909e-05,NA,"Moderate correlation","Pearson","OID30774",0.816403085484837,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P01137","TGFB1","Transforming growth factor beta-1 proprotein","SL000584","TGFB1.14108.15",0.744464362542618,28,5.56126185012014e-06,NA,"Strong correlation","Pearson","OID20621",0.53756472121447,88,1.10128955448564e-07,2.35930912146923e-07,"Moderate correlation","Spearman"
"Dammer et al.","P09486","SPARC","SPARC","SL000532","SPARC.3043.49",0.896734638269631,35,3.17041016088275e-13,NA,"Strong correlation","Pearson","OID21511",0.896622168997218,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P26447","S100A4","Protein S100-A4","SL004821","S100A4.9750.7",0.759194738150614,35,1.24594738055584e-07,NA,"Strong correlation","Pearson","OID21519",0.812722341587123,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P52799","EFNB2","Ephrin-B2","SL007274","EFNB2.14131.37",0.0933395068885765,14,0.750957840736927,NA,"No correlation","Pearson","OID30954",0.199787554217934,78,0.0795389301536501,0.101583090660035,"No correlation","Spearman"
"Dammer et al.","P27930","IL1R2","Interleukin-1 receptor type 2","SL000145","IL1R2.14133.93",0.524611733060595,35,0.00121541411090292,NA,"Moderate correlation","Pearson","OID20757",0.63497235039273,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q15828","CST6","Cystatin-M","SL004438","CST6.3303.23",0.541598267938439,28,0.00291480236580679,NA,"Moderate correlation","Pearson","OID20293",0.896710225071326,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P12830","CDH1","Cadherin-1","SL000055","CDH1.18429.10",0.34424525584093,35,0.0428690596422259,NA,"Weak correlation","Pearson","OID20353",0.706350604064669,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q06141","REG3A","Regenerating islet-derived protein 3-alpha","SL002648","REG3A.15304.1",0.811118811619645,27,2.87222263132451e-07,NA,"Strong correlation","Pearson","OID20258",0.895238095238095,64,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15086","CPB1","Carboxypeptidase B","SL011428","CPB1.15375.49",0.662457045283528,14,0.00983606757616053,NA,"Moderate correlation","Pearson","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15090","FABP4","Fatty acid-binding protein, adipocyte","SL005086","FABP4.9851.9",0.704947259316907,35,2.26990908769784e-06,NA,"Strong correlation","Pearson","OID20245",0.88827445317178,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P12931","SRC","Proto-oncogene tyrosine-protein kinase Src","SL005268","SRC.15433.4",0.836353562251644,35,3.94961864408097e-10,NA,"Strong correlation","Pearson","OID21521",0.903930823148181,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P55058","PLTP","Phospholipid transfer protein","SL004948","PLTP.15475.4",0.140331368007582,35,0.421367583116252,NA,"No correlation","Pearson","OID20238",0.681730125744074,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P23141","CES1","Liver carboxylesterase 1","SL006149","CES1.7182.1",0.490140971767942,35,0.00279974930123522,NA,"Weak correlation","Pearson","OID20244",0.909901024972703,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P06276","BCHE","Cholinesterase","SL001814","BCHE.15514.26",0.709448197805252,35,1.82920180410232e-06,NA,"Strong correlation","Pearson","OID30717",0.814254517276602,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P20062","TCN2","Transcobalamin-2","SL003335","TCN2.5584.21",0.409012527192033,35,0.0147012890078429,NA,"Weak correlation","Pearson","OID20341",0.52897044838153,88,1.87282674332654e-07,3.89396205012092e-07,"Moderate correlation","Spearman"
"Dammer et al.","O00602","FCN1","Ficolin-1","SL010462","FCN1.22961.7",0.875468429852835,35,5.91382102093312e-12,NA,"Strong correlation","Pearson","OID30690",0.683221281492311,88,2.23860649146187e-13,6.06087944570852e-13,"Moderate correlation","Spearman"
"Dammer et al.","P08887","IL6R","Interleukin-6 receptor subunit alpha","SL001943","IL6R.4139.71",0.684139943093105,35,5.8612633911954e-06,NA,"Moderate correlation","Pearson","OID20385",0.653217568947906,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P17301","ITGA2","Integrin alpha-2","SL022741","ITGA2.ITGB1.21905.10",0.546454592955987,35,0.00068328208714284,NA,"Moderate correlation","Pearson","OID30570",0.694744813497235,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P43251","BTD","Biotinidase","SL000303","BTD.15644.1",0.613819551703236,35,8.79779044648228e-05,NA,"Moderate correlation","Pearson","OID30754",0.604716283329224,88,3.98748467644562e-11,1.05677704218477e-10,"Moderate correlation","Spearman"
"Dammer et al.","P55103","INHBC","Inhibin beta C chain","SL007288","INHBC.6408.2",0.766708290126931,35,7.85230832920237e-08,NA,"Strong correlation","Pearson","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Dammer et al.","Q9BXR6","CFHR5","Complement factor H-related protein 5","SL006830","CFHR5.7885.17",0.518844845831543,35,0.00140608493175396,NA,"Moderate correlation","Pearson","OID30716",0.737085419177916,88,2.66806089425404e-16,7.60666855962831e-16,"Strong correlation","Spearman"
"Dammer et al.","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor","SL003679","IGF2R.16057.6",0.587808513634352,35,0.000204829507335233,NA,"Moderate correlation","Pearson","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Dammer et al.","O75791","GRAP2","GRB2-related adapter protein 2","SL005725","GRAP2.16074.12",0.703934239678778,13,0.00724239575588857,NA,"Strong correlation","Pearson","OID20192",0.669811902559359,46,8.38030821208944e-07,1.65988911779807e-06,"Moderate correlation","Spearman"
"Dammer et al.","P54764","EPHA4","Ephrin type-A receptor 4","SL013797","EPHA4.16288.17",-0.088437170120846,28,0.654507896765074,NA,"No correlation","Pearson","OID30622",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Dammer et al.","Q8WZ75","ROBO4","Roundabout homolog 4","SL008763","ROBO4.9232.1",0.339386142630395,35,0.0460911149636865,NA,"Weak correlation","Pearson","OID30226",0.406185058645345,88,9.88475571346543e-05,0.000167314680667203,"Weak correlation","Spearman"
"Dammer et al.","P55285","CDH6","Cadherin-6","SL004865","CDH6.3591.51",-0.148780040271684,35,0.393664719061923,NA,"No correlation","Pearson","OID20157",0.743633545841992,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P06396","GSN","Gelsolin","SL005572","GSN.4775.34",0.449487221890956,35,0.00675087842550118,NA,"Weak correlation","Pearson","OID30714",0.636419272043399,88,2.66693908200831e-11,7.10135430091364e-11,"Moderate correlation","Spearman"
"Dammer et al.","P51858","HDGF","Hepatoma-derived growth factor","SL013046","HDGF.16758.96",0.775879223769132,28,1.22851119989881e-06,NA,"Strong correlation","Pearson","OID21455",0.413480724718653,67,0.000562916596214544,0.000886377736577712,"Weak correlation","Spearman"
"Dammer et al.","O14960","LECT2","Leukocyte cell-derived chemotaxin-2","SL017261","LECT2.16763.11",0.73893919703818,35,3.99870352137982e-07,NA,"Strong correlation","Pearson","OID30320",0.264222219289568,88,0.0128622151903274,0.0177958835170093,"No correlation","Spearman"
"Dammer et al.","P02775","PPBP","Platelet basic protein","SL003044","PPBP.17165.1",0.933327747873168,35,3.06673377819575e-16,NA,"Strong correlation","Pearson","OID30761",0.894896269944701,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O76074","PDE5A","cGMP-specific 3',5'-cyclic phosphodiesterase","SL011405","PDE5A.5256.86",0.858292061958407,35,4.36323598671905e-11,NA,"Strong correlation","Pearson","OID30584",0.858581944982565,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P08571","CD14","Monocyte differentiation antigen CD14","SL018823","CD14.8969.49",0.559132360873679,35,0.000480227114964048,NA,"Moderate correlation","Pearson","OID20378",0.670177168821105,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P13796","LCP1","Plastin-2","SL004609","LCP1.9749.190",0.668484452704374,35,1.1394104542651e-05,NA,"Moderate correlation","Pearson","OID30367",0.598622803000951,88,6.09558185377003e-10,1.5499801605645e-09,"Moderate correlation","Spearman"
"Dammer et al.","P37235","HPCAL1","Hippocalcin-like protein 1","SL011188","HPCAL1.17791.25",0.78958235649539,20,3.47581021489017e-05,NA,"Strong correlation","Pearson","OID20615",0.710084181606847,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P43652","AFM","Afamin","SL004742","AFM.4763.31",0.678412549724944,35,7.50950747946907e-06,NA,"Moderate correlation","Pearson","OID30741",0.749040188792223,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q99497","PARK7","Parkinson disease protein 7","SL008933","PARK7.19523.215",0.920350150014715,35,5.23064252978127e-15,NA,"Strong correlation","Pearson","OID21160",0.900655137191364,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15085","CPA1","Carboxypeptidase A1","SL009336","CPA1.19760.26",0.390627147718296,27,0.043950749774151,NA,"Weak correlation","Pearson","OID20280",0.914439938897679,88,1.53731697885867e-35,4.91680132898425e-35,"Strong correlation","Spearman"
"Dammer et al.","P19320","VCAM1","Vascular cell adhesion protein 1","SL001720","VCAM1.20093.9",0.453863476348638,35,0.00617123684275332,NA,"Weak correlation","Pearson","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UEW3","MARCO","Macrophage receptor MARCO","SL018780","MARCO.20134.27",0.508153297703559,35,0.0018300061168665,NA,"Moderate correlation","Pearson","OID20210",0.65490824557078,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P13591","NCAM1","Neural cell adhesion molecule 1","SL003764","NCAM1.4498.62",0.611906929680723,35,9.3856193130062e-05,NA,"Moderate correlation","Pearson","OID20354",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Dammer et al.","P09871","C1S","Complement C1s subcomponent","SL000311","C1S.20203.45",0.396258097311382,35,0.0184460769156559,NA,"Weak correlation","Pearson","OID30731",0.375964214011483,88,0.000337262405313755,0.000544967879998512,"Weak correlation","Spearman"
"Dammer et al.","Q14126","DSG2","Desmoglein-2","SL004857","DSG2.9484.75",0.355478976650548,35,0.0361121635488429,NA,"Weak correlation","Pearson","OID21113",0.673376569062605,88,6.5761550877337e-13,1.77619117082568e-12,"Moderate correlation","Spearman"
"Dammer et al.","P13667","PDIA4","Protein disulfide-isomerase A4","SL006466","PDIA4.20525.200",0.852917455330154,35,7.73273343049904e-11,NA,"Strong correlation","Pearson","OID30375",0.75495755697228,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q15223","NECTIN1","Nectin-1","SL004799","NECTIN1.8803.61",0.511520304304652,28,0.00539953286672539,NA,"Moderate correlation","Pearson","OID30545",0.209608678806664,88,0.050153300174038,0.0651588905598262,"No correlation","Spearman"
"Dammer et al.","P08648","ITGA5","Integrin alpha-5","SL003181","ITGA5.ITGB1.21909.10",0.59277228700702,20,0.00587995758438883,NA,"Moderate correlation","Pearson","OID21139",0.393751540981297,88,0.00016599639176763,0.000276415820509814,"Weak correlation","Spearman"
"Dammer et al.","P01033","TIMP1","Metalloproteinase inhibitor 1","SL000591","TIMP1.23173.3",0.639755829785667,35,3.50470806780385e-05,NA,"Moderate correlation","Pearson","OID20418",0.790708323060125,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P18065","IGFBP2","Insulin-like growth factor-binding protein 2","SL000466","IGFBP2.2570.72",0.597723254809888,35,0.000149700823199132,NA,"Moderate correlation","Pearson","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q14118","DAG1","Dystroglycan 1","SL004979","DAG1.23176.17",0.343277547671428,35,0.0434958243222931,NA,"Weak correlation","Pearson","OID20774",-0.0562326089253637,88,0.602164343275546,0.6480872674529,"No correlation","Spearman"
"Dammer et al.","P01031","C5","Complement C5","SL000321","C5.C6.4482.66",0.678549607198046,35,7.46558196107167e-06,NA,"Moderate correlation","Pearson","OID30744",0.501356063541263,88,9.3777221365822e-07,1.84450318679465e-06,"Moderate correlation","Spearman"
"Dammer et al.","P02649","APOE","Apolipoprotein E","SL000276","APOE.2418.55",0.637851939373927,35,3.76044913470329e-05,NA,"Moderate correlation","Pearson","OID30727",0.484768433524271,88,1.70020890399134e-06,3.28687645994217e-06,"Weak correlation","Spearman"
"Dammer et al.","P13501","CCL5","C-C motif chemokine 5","SL000563","CCL5.2523.31",0.916402305493015,28,7.693629760777e-12,NA,"Strong correlation","Pearson","OID20412",0.780564263322884,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P01024","C3","Complement C3","SL000312","C3.2754.50",0.501253977120932,35,0.00215956471774563,NA,"Moderate correlation","Pearson","OID30776",0.423813884681765,88,4.58378862100802e-05,7.9862613474044e-05,"Weak correlation","Spearman"
"Dammer et al.","P24821","TNC","Tenascin","SL003198","TNC.7131.207",0.655381225141466,35,1.93015451310535e-05,NA,"Moderate correlation","Pearson","OID20359",0.567964178636843,88,7.87209763297837e-09,1.82872391515074e-08,"Moderate correlation","Spearman"
"Dammer et al.","P02671","FGA","Fibrinogen alpha chain","SL000022","FGA.FGB.FGG.4907.56",0.615482123910462,35,8.31396192024992e-05,NA,"Moderate correlation","Pearson","OID30788",0.750061639251876,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P01011","SERPINA3","Alpha-1-antichymotrypsin","SL018548","SERPINA3.4153.11",0.39737995601975,35,0.018087601136227,NA,"Weak correlation","Pearson","OID30786",0.825508083547603,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P04070","PROC","Vitamin K-dependent protein C","SL003974","PROC.3758.63",0.631652528596253,35,4.71443148022033e-05,NA,"Moderate correlation","Pearson","OID20402",0.649695325983586,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P07858","CTSB","Cathepsin B","SL000343","CTSB.8007.19",0.802097137748546,35,6.9235062123004e-09,NA,"Strong correlation","Pearson","OID20276",0.87284702898806,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P00742","F10","Coagulation factor X","SL003324","F10.3077.66",0.748019331836135,35,2.40299948036265e-07,NA,"Strong correlation","Pearson","OID30684",0.683485450877723,88,2.17354403727395e-13,5.89887312039013e-13,"Moderate correlation","Spearman"
"Dammer et al.","P48740","MASP1","Mannan-binding lectin serine protease 1","SL011049","MASP1.8091.16",0.396788917877248,35,0.0182757279832885,NA,"Weak correlation","Pearson","OID20954",0.0373095228664233,88,0.73001150193464,0.766681847148101,"No correlation","Spearman"
"Dammer et al.","P42892","ECE1","Endothelin-converting enzyme 1","SL004060","ECE1.8767.44",0.574583878891631,14,0.0316198068806923,NA,"Moderate correlation","Pearson","OID20891",0.22015037593985,76,0.0561802546905828,0.0726546478186345,"No correlation","Spearman"
"Dammer et al.","Q04756","HGFAC","Hepatocyte growth factor activator","SL006512","HGFAC.8385.248",0.152985183356666,35,0.380278259342182,NA,"No correlation","Pearson","OID30718",0.589693917086401,88,2.14365087468494e-09,5.20469212369741e-09,"Moderate correlation","Spearman"
"Dammer et al.","Q9UIB8","CD84","SLAM family member 5","SL008588","CD84.3642.4",0.55883060386005,35,0.000484354560209222,NA,"Moderate correlation","Pearson","OID20607",0.238579127188194,88,0.0254102909831045,0.0342341509784308,"No correlation","Spearman"
"Dammer et al.","P00747","PLG","Plasminogen","SL000541","PLG.4151.6",0.671079101434234,35,1.02332377238862e-05,NA,"Moderate correlation","Pearson","OID30785",0.513137966256913,88,4.79435400397903e-07,9.66576012587914e-07,"Moderate correlation","Spearman"
"Dammer et al.","P25786","PSMA1","Proteasome subunit alpha type-1","SL010973","PSMA1.3859.50",0.639590683022521,35,3.52625135846832e-05,NA,"Moderate correlation","Pearson","OID21221",-0.162216899721743,88,0.130890384611471,0.162212123190286,"No correlation","Spearman"
"Dammer et al.","P00734","F2","Prothrombin","SL000586","F2.4157.2",0.477662919882149,35,0.00370983176715899,NA,"Weak correlation","Pearson","OID30723",0.469816446309925,88,3.8740409308596e-06,7.27752447743842e-06,"Weak correlation","Spearman"
"Dammer et al.","Q9HCB6","SPON1","Spondin-1","SL005115","SPON1.4297.62",0.29695352100042,28,0.124896372502895,NA,"No correlation","Pearson","OID20759",0.613454146804873,88,2.09407107075109e-10,5.4474798130829e-10,"Moderate correlation","Spearman"
"Dammer et al.","P05090","APOD","Apolipoprotein D","SL005361","APOD.8262.20",0.324671083846547,35,0.0570490853188863,NA,"Weak correlation","Pearson","OID30746",0.797347751047868,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P30101","PDIA3","Protein disulfide-isomerase A3","SL003524","PDIA3.4719.58",0.895629268985156,35,3.7474323500171e-13,NA,"Strong correlation","Pearson","OID30573",0.359356838434715,88,0.000632191304046778,0.000987197762474153,"Weak correlation","Spearman"
"Dammer et al.","P00740","F9","Coagulation factor IX","SL004400","F9.5307.12",0.592835821893802,35,0.000174945688793691,NA,"Moderate correlation","Pearson","OID20349",0.547948944868757,88,3.28432451723127e-08,7.34257897020614e-08,"Moderate correlation","Spearman"
"Dammer et al.","Q9UJU6","DBNL","Drebrin-like protein","SL011628","DBNL.4978.54",0.884264299728107,35,1.89001058874689e-12,NA,"Strong correlation","Pearson","OID20681",0.845479201155296,88,0,0,"Strong correlation","Spearman"
