"UniProt","Gene.Name","OlinkID","Description","SomaScan.SeqID","Correlation_Sissala","P.value_Sissala","Adj.p.value_Sissala","N_Sissala","Correlation_Eldjarn","P.value_Eldjarn","cis.pQTL.olink_Eldjarn","cis.pQTL.soma_Eldjarn","confidence.tier_Eldjarn","cis.pQTL.platform_Eldjarn","High.corr.in.both.studies"
"P06396","GSN","OID30714","Gelsolin","16607_78",0.636419272043399,2.66693908200831e-11,7.10135430091364e-11,88,0.28,"2.09606953876235E-26","Y","Y","2","Both",FALSE
"P06396","GSN","OID30714","Gelsolin","4775_34",0.636419272043399,2.66693908200831e-11,7.10135430091364e-11,88,0.3,"3.87970761135938E-30","Y","Y","2","Both",FALSE
"P02748","C9","OID30698","Complement component C9","3060_43",0.850163784297841,0,0,88,0.55,"2.2920952077896399E-107","Y","Y","1","Both",FALSE
"P00746","CFD","OID30738","Complement factor D","2946_52",0.69050051072523,0,0,88,0.55,"6.0924269397853899E-108","Y","Y","1","Both",FALSE
"P02786","TFRC","OID20369","Transferrin receptor protein 1","6895_1",0.611126765524286,0,0,88,0.28,"5.1416445070119797E-28","Y","N","3","Olink only",FALSE
"P02786","TFRC","OID20369","Transferrin receptor protein 1","8795_48",0.611126765524286,0,0,88,0.53,"1.2568259262027799E-106","Y","Y","1","Both",FALSE
"P02749","APOH","OID21072","Beta-2-glycoprotein 1","8288_27",0.508435771899546,6.28387103674471e-07,1.26012262886053e-06,88,-0.04,"0.167838863020351","Y","Y","2","Both",FALSE
"P08185","SERPINA6","OID30743","Corticosteroid-binding globulin","4785_30",0.596115829475634,8.92008076557699e-10,2.25183393130196e-09,88,0.02,"0.39331420531732197","Y","N","3","Olink only",FALSE
"P36955","SERPINF1","OID30757","Pigment epithelium-derived factor","9211_19",0.602426825402416,2.20454568908892e-10,5.72168294938251e-10,88,0.45,"1.2352624732161799E-70","Y","Y","2","Both",FALSE
"P19827","ITIH1","OID30722","Inter-alpha-trypsin inhibitor heavy chain H1","7955_195",0.259132555797287,0.0147720548946004,0.0202891118929487,88,0.24,"1.58036289106045E-19","Y","Y","2","Both",FALSE
"P10643","C7","OID30766","Complement component C7","2888_49",0.756801260975868,1.47995368531125e-17,4.32867282569016e-17,88,0.4,"6.3054860547363801E-54","Y","Y","2","Both",FALSE
"P07451","CA3","OID20271","Carbonic anhydrase 3","3799_11",0.871719911239478,0,0,88,0.83,"0","Y","Y","1","Both",TRUE
"P29622","SERPINA4","OID30774","Kallistatin","3449_58",0.816403085484837,0,0,88,0.45,"2.3149458889574701E-69","Y","Y","2","Both",FALSE
"P35542","SAA4","OID30726","Serum amyloid A-4 protein","15516_12",0.594554612377162,1.18094848691702e-09,2.9432468912347e-09,88,0.45,"1.6607069050146399E-68","Y","Y","2","Both",FALSE
"Q04756","HGFAC","OID30718","Hepatocyte growth factor activator","3617_80",0.589693917086401,2.14365087468494e-09,5.20469212369741e-09,88,0.4,"6.7631320101054802E-55","Y","Y","2","Both",FALSE
"P01019","AGT","OID30709","Angiotensinogen","3484_60",-0.0523935947734762,0.627817405208198,0.673129962469188,88,0.18,"6.9768612999173302E-12","Y","Y","2","Both",FALSE
"P43652","AFM","OID30741","Afamin","4763_31",0.749040188792223,0,0,88,0.61,"7.5170005986800605E-141","Y","Y","1","Both",FALSE
"P01031","C5","OID30744","Complement C5","2381_52",0.501356063541263,9.3777221365822e-07,1.84450318679465e-06,88,0.33,"1.81373383405305E-36","Y","Y","2","Both",FALSE
"P01031","C5","OID30744","Complement C5","2851_63",0.501356063541263,9.3777221365822e-07,1.84450318679465e-06,88,0.28,"3.1542591829043301E-26","Y","Y","2","Both",FALSE
"P01009","SERPINA1","OID30750","Alpha-1-antitrypsin","3580_25",0.416683177257293,5.38590505832458e-05,9.3119246720497e-05,88,0.18,"9.2275954381347999E-12","Y","Y","2","Both",FALSE
"Q07075","ENPEP","OID30135","Glutamyl aminopeptidase","15558_63",0.292523566113425,0.0056809619200558,0.00812323847917855,88,0.06,"2.2177313035581799E-2","Y","Y","2","Both",FALSE
"P61769","B2M","OID30725","Beta-2-microglobulin","3485_28",0.808301926666902,0,0,88,0.55,"1.3320032904347199E-110","N","N","3","None",FALSE
"P05451","REG1A","OID20415","Lithostathine-1-alpha","13095_51",0.881044002041854,1.06607363815902e-29,3.35263826596526e-29,88,0.76,"1.43927472391546E-273","Y","Y","1","Both",TRUE
"P27169","PON1","OID30704","Serum paraoxonase/arylesterase 1","4261_55",0.773343665246029,0,0,88,-0.02,"0.49169266604363399","Y","N","3","Olink only",FALSE
"P02649","APOE","OID30727","Apolipoprotein E","2418_55",0.484768433524271,1.70020890399134e-06,3.28687645994217e-06,88,0.26,"1.8667754031116401E-22","Y","Y","2","Both",FALSE
"Q15848","ADIPOQ","OID30748","Adiponectin","3554_24",0.930629424817724,0,0,88,0.88,"0","Y","Y","1","Both",TRUE
"P04217","A1BG","OID30771","Alpha-1B-glycoprotein","16561_9",0.443980680416584,1.4718041658656e-05,2.60858226571784e-05,88,0.49,"2.7549846547151202E-85","Y","Y","2","Both",FALSE
"Q96QR1","SCGB3A1","OID30577","Secretoglobin family 3A member 1","6252_62",0.801040827386279,7.26812854782879e-21,2.19992416367258e-20,88,0.77,"1.00682833508334E-267","Y","Y","1","Both",TRUE
"Q08380","LGALS3BP","OID30765","Galectin-3-binding protein","5000_52",0.866278045859604,0,0,88,0.79,"2.7106410361590202E-288","Y","Y","1","Both",TRUE
"P09871","C1S","OID30731","Complement C1s subcomponent","8840_61",0.375964214011483,0.000337262405313755,0.000544967879998512,88,0.4,"1.04874896297091E-52","Y","Y","2","Both",FALSE
"P15121","AKR1B1","OID21244","Aldo-keto reductase family 1 member B1","16606_85",0.52710365961044,2.09749632957917e-07,4.33713068881846e-07,88,0.59,"4.3332467340510598E-135","Y","Y","1","Both",FALSE
"O43866","CD5L","OID30775","CD5 antigen-like","3293_2",0.758761579373745,0,0,88,0.69,"2.8065923060335801E-192","Y","Y","1","Both",FALSE
"P05362","ICAM1","OID20411","Intercellular adhesion molecule 1","4342_10",0.728376635105485,8.82763526915294e-16,2.49784466638438e-15,88,-0.02,"0.47479816807282299","Y","Y","2","Both",FALSE
"P05543","SERPINA7","OID30724","Thyroxine-binding globulin","2706_69",0.654714522207742,0,0,88,0.4,"1.3117101698991001E-54","Y","Y","2","Both",FALSE
"P09211","GSTP1","OID20876","Glutathione S-transferase P","4911_49",0.254270719594238,0.0170418028397373,0.0232089208758304,88,0.32,"1.06261969930272E-36","Y","Y","2","Both",FALSE
"P00736","C1R","OID30753","Complement C1r subcomponent","3285_23",0.475170279187618,2.89754595197789e-06,5.50728851815327e-06,88,0.01,"0.66095870959766501","Y","Y","2","Both",FALSE
"P01034","CST3","OID20400","Cystatin-C","2609_59",0.727202282413441,0,0,88,0.59,"4.9401566955822097E-134","Y","Y","1","Both",FALSE
"Q9HCU0","CD248","OID30394","Endosialin","15491_20",0.639756611945776,1.94848882874297e-11,5.2005765665504e-11,88,0.76,"2.79910472216376E-258","Y","Y","1","Both",FALSE
"Q04695","KRT17","OID30092","Keratin, type I cytoskeletal 17","12923_51",0.15017082878377,0.16229171398522,0.197656251444782,88,0.01,"0.62170371950688996","N","N","3","None",FALSE
"P03952","KLKB1","OID30760","Plasma kallikrein","4152_58",0.793367616498186,0,0,88,0.58,"1.0908798602725799E-121","Y","Y","1","Both",FALSE
"P05060","CHGB","OID21038","Secretogranin-1","8235_48",0.682047127610863,0,0,88,0.66,"9.7091519959571994E-181","Y","Y","1","Both",FALSE
"P00742","F10","OID30684","Coagulation factor X","3077_66",0.683485450877723,2.17354403727395e-13,5.89887312039013e-13,88,0.57,"2.10280492953907E-118","Y","Y","1","Both",FALSE
"P00742","F10","OID30684","Coagulation factor X","4878_3",0.683485450877723,2.17354403727395e-13,5.89887312039013e-13,88,0.59,"2.5458268606718102E-127","Y","Y","1","Both",FALSE
"P05160","F13B","OID30781","Coagulation factor XIII B chain","5658_64",0.606858717815742,3.67178233219811e-10,9.46448002979833e-10,88,0.18,"4.00219186302316E-11","Y","Y","2","Both",FALSE
"P18065","IGFBP2","OID20325","Insulin-like growth factor-binding protein 2","8469_41",0.882709309288155,0,0,88,0.84,"0","Y","Y","1","Both",TRUE
"Q9UM47","NOTCH3","OID20253","Neurogenic locus notch homolog protein 3","5108_72",0.606723961818886,0,0,88,0.55,"1.33501555388098E-116","Y","Y","1","Both",FALSE
"P98160","HSPG2","OID20383","Basement membrane-specific heparan sulfate proteoglycan core protein","15626_223",0.235585220668522,0.0273535573903237,0.0366336492214418,88,0.12,"3.2625525612153502E-6","Y","Y","2","Both",FALSE
"P04196","HRG","OID30770","Histidine-rich glycoprotein","4996_66",0.538392448311085,1.04548378040956e-07,2.24401366555589e-07,88,0.41,"3.9445069846056199E-56","Y","Y","2","Both",FALSE
"P50552","VASP","OID30692","Vasodilator-stimulated phosphoprotein","9762_14",0.823694128420979,0,0,88,0.43,"5.4612658852659699E-64","N","N","3","None",FALSE
"P05107","ITGB2","OID20315","Integrin beta-2","12750_9",0.683491247226234,0,0,88,0.02,"0.56575831441325297","Y","N","3","Olink only",FALSE
"P26927","MST1","OID30713","Hepatocyte growth factor-like protein","4407_10",0.751294424289388,0,0,88,0.8,"3.51468639641229e-311","Y","Y","1","Both",TRUE
"Q96IY4","CPB2","OID30734","Carboxypeptidase B2","3518_54",0.459282871332465,8.61565425256535e-06,1.5563317841834e-05,88,0.42,"4.2863174661794099E-60","Y","Y","2","Both",FALSE
"P02452","COL1A1","OID20335","Collagen alpha-1(I) chain","11140_56",0.82172167236096,0,0,88,0.64,"1.03279889539524E-168","Y","Y","1","Both",FALSE
"P02452","COL1A1","OID20335","Collagen alpha-1(I) chain","13484_69",0.82172167236096,0,0,88,-0.01,"0.84531386339523196","Y","N","3","Olink only",FALSE
"P05452","CLEC3B","OID30756","Tetranectin","5701_81",0.67429819308936,0,0,88,0.55,"1.8099937593418E-110","Y","Y","1","Both",FALSE
"O95445","APOM","OID20374","Apolipoprotein M","10445_20",0.829224049874961,0,0,88,0.51,"5.9272886218298101E-96","Y","Y","1","Both",FALSE
"P07998","RNASE1","OID30672","Ribonuclease pancreatic","7211_2",0.738318209643175,2.24376402327516e-16,6.41318881589279e-16,88,0.72,"4.6057511920366204E-217","Y","Y","1","Both",TRUE
"Q07954","LRP1","OID21293","Prolow-density lipoprotein receptor-related protein 1","10699_52",0.462417667570709,7.3700071911736e-06,1.34205453529597e-05,88,0.08,"1.6762822397432E-3","Y","N","3","Olink only",FALSE
"Q07954","LRP1","OID21293","Prolow-density lipoprotein receptor-related protein 1","8601_167",0.462417667570709,7.3700071911736e-06,1.34205453529597e-05,88,0.03,"0.25434971644589399","Y","N","3","Olink only",FALSE
"Q07954","LRP1","OID21293","Prolow-density lipoprotein receptor-related protein 1","9182_3",0.462417667570709,7.3700071911736e-06,1.34205453529597e-05,88,0.37,"3.19496260263274E-47","Y","Y","2","Both",FALSE
"P02775","PPBP","OID30761","Platelet basic protein","16765_52",0.894896269944701,0,0,88,0.76,"1.80638513422912E-252","Y","N","3","Olink only",TRUE
"P02775","PPBP","OID30761","Platelet basic protein","17165_1",0.894896269944701,0,0,88,0.8,"4.51824331431739E-305","Y","N","3","Olink only",TRUE
"P02775","PPBP","OID30761","Platelet basic protein","2790_54",0.894896269944701,0,0,88,0.81,"2.64819186170908e-321","Y","N","3","Olink only",TRUE
"P02775","PPBP","OID30761","Platelet basic protein","4544_4",0.894896269944701,0,0,88,0.8,"2.51682306205353e-310","Y","N","3","Olink only",TRUE
"Q8WWQ8","STAB2","OID30401","Stabilin-2","3399_31",0.374132647670036,0.000362028610045402,0.000583067476093094,88,0.09,"9.9162337201829992E-4","Y","N","3","Olink only",FALSE
"P04180","LCAT","OID30677","Phosphatidylcholine-sterol acyltransferase","15413_3",0.615417805903106,1.7671976794027e-10,4.62915587017551e-10,88,0.01,"0.75814788265202204","Y","N","3","Olink only",FALSE
"P12429","ANXA3","OID21036","Annexin A3","17163_117",0.892148920432532,0,0,88,-0.2,"2.0168039360050002E-14","Y","N","3","Olink only",FALSE
"P02144","MB","OID20263","Myoglobin","3042_7",0.89544221760417,0,0,88,0.46,"2.0694739900757199E-76","N","N","3","None",FALSE
"P02743","APCS","OID30778","Serum amyloid P-component","2474_54",0.792134831460674,0,0,88,0.72,"9.8660730950380197E-219","Y","Y","1","Both",TRUE
"P13796","LCP1","OID30367","Plastin-2","17231_1",0.598622803000951,6.09558185377003e-10,1.5499801605645e-09,88,0.36,"2.3059953009518299E-43","Y","Y","2","Both",FALSE
"P35443","THBS4","OID20368","Thrombospondin-4","3340_53",0.607674967419253,0,0,88,0.61,"2.2350184770901501E-145","Y","Y","1","Both",FALSE
"P11717","IGF2R","OID21146","Cation-independent mannose-6-phosphate receptor","16057_6",0.583459547039555,4.00310202345248e-09,9.57521649253781e-09,88,0.56,"8.6059395920177008E-121","Y","Y","1","Both",FALSE
"Q9NZP8","C1RL","OID30721","Complement C1r subcomponent-like protein","9348_1",0.601211651579726,3.31686503108651e-10,8.5692005036537e-10,88,0.46,"4.0216208022560799E-72","Y","Y","2","Both",FALSE
"Q15582","TGFBI","OID20417","Transforming growth factor-beta-induced protein ig-h3","3283_21",0.53877989503716,1.02028607796297e-07,2.19410091813369e-07,88,0.29,"1.7133133825714099E-28","Y","Y","2","Both",FALSE
"P30041","PRDX6","OID21404","Peroxiredoxin-6","5018_68",0.532404635271741,1.5176718597147e-07,3.19673792839159e-07,88,0.32,"1.56117061792224E-35","Y","Y","2","Both",FALSE
"Q13093","PLA2G7","OID21105","Platelet-activating factor acetylhydrolase","5015_15",0.641045058714744,1.72435034628865e-11,4.61325009706134e-11,88,0.52,"1.0062550129907E-99","Y","Y","1","Both",FALSE
"P48740","MASP1","OID20954","Mannan-binding lectin serine protease 1","3605_77",0.0373095228664233,0.73001150193464,0.766681847148101,88,0.19,"1.2786362207930199E-12","Y","Y","2","Both",FALSE
"P48740","MASP1","OID20954","Mannan-binding lectin serine protease 1","9125_23",0.0373095228664233,0.73001150193464,0.766681847148101,88,0.02,"0.36196897109057402","Y","N","3","Olink only",FALSE
"P24592","IGFBP6","OID20413","Insulin-like growth factor-binding protein 6","14088_38",0.820682610686485,0,0,88,0.44,"2.0344158185405699E-70","Y","Y","2","Both",FALSE
"P02654","APOC1","OID30749","Apolipoprotein C-I","15364_101",0.749501380292303,4.45481360846972e-17,1.28631318771415e-16,88,0.38,"1.1363805501030599E-48","Y","Y","2","Both",FALSE
"P06681","C2","OID20410","Complement C2","3186_2",0.586737816293491,1.88564942626181e-09,4.58814267726203e-09,88,0.45,"3.9403552783033197E-73","Y","Y","2","Both",FALSE
"P01033","TIMP1","OID20418","Metalloproteinase inhibitor 1","2211_9",0.790708323060125,0,0,88,0.06,"1.3749659401429099E-2","Y","Y","2","Both",FALSE
"P05090","APOD","OID30746","Apolipoprotein D","4712_28",0.797347751047868,0,0,88,-0.13,"2.1342573657069399E-6","Y","N","3","Olink only",FALSE
"P08648","ITGA5","OID21139","Integrin alpha-5","6932_42",0.393751540981297,0.00016599639176763,0.000276415820509814,88,0.22,"2.7613717766932901E-17","Y","N","3","Olink only",FALSE
"Q96KN2","CNDP1","OID20347","Beta-Ala-His dipeptidase","5456_59",0.878183227079004,0,0,88,0.63,"8.55640682590362E-160","Y","Y","1","Both",FALSE
"P09619","PDGFRB","OID20268","Platelet-derived growth factor receptor beta","3459_49",0.834106028793742,6.16653387645622e-24,1.90219036790138e-23,88,0.69,"3.2258468203838003E-204","Y","Y","1","Both",FALSE
"Q92820","GGH","OID20416","Gamma-glutamyl hydrolase","9370_69",0.753478214927266,0,0,88,0.64,"1.60376121605591E-166","Y","Y","1","Both",FALSE
"P30046","DDT","OID30372","D-dopachrome decarboxylase","19237_17",0.81698425557395,0,0,88,0.26,"4.0860386486354799E-22","Y","Y","2","Both",FALSE
"P07858","CTSB","OID20276","Cathepsin B","8007_19",0.87284702898806,0,0,88,0.79,"5.34398784922486e-311","Y","Y","1","Both",TRUE
"P06276","BCHE","OID30717","Cholinesterase","15514_26",0.814254517276602,0,0,88,0.74,"2.6303243065453401E-239","Y","Y","1","Both",TRUE
"Q9Y5C1","ANGPTL3","OID20407","Angiopoietin-related protein 3","10391_1",0.795921242647318,0,0,88,0.64,"1.6334658584531201E-167","Y","Y","1","Both",FALSE
"P41222","PTGDS","OID20408","Prostaglandin-H2 D-isomerase","10514_5",0.723820929167694,0,0,88,0.51,"6.76331869591823E-96","Y","Y","1","Both",FALSE
"P04040","CAT","OID30712","Catalase","3488_64",0.813761403261597,0,0,88,0.67,"1.01769362398037E-178","Y","Y","1","Both",FALSE
"P11226","MBL2","OID30759","Mannose-binding protein C","3000_66",0.97097218737595,3.29761006817605e-55,1.06371479056307e-54,88,0.9,"0","Y","Y","1","Both",TRUE
"P15144","ANPEP","OID20350","Aminopeptidase N","15457_14",0.684779880866244,1.88021937721082e-13,5.12745815669326e-13,88,0.04,"0.17614682296267201","Y","N","3","Olink only",FALSE
"O75339","CILP","OID30399","Cartilage intermediate layer protein 1","5717_2",0.498467824310521,1.10155816708793e-06,2.14423994938324e-06,88,0.01,"0.703939372127106","Y","N","3","Olink only",FALSE
"Q9BXR6","CFHR5","OID30716","Complement factor H-related protein 5","16055_3",0.737085419177916,2.66806089425404e-16,7.60666855962831e-16,88,0.29,"3.4900861142584501E-28","Y","Y","2","Both",FALSE
"O75356","ENTPD5","OID20104","Nucleoside diphosphate phosphatase ENTPD5","4437_56",0.497501397901153,8.17171915909925e-07,1.62427305116603e-06,88,0.38,"3.9362643611842402E-52","Y","Y","2","Both",FALSE
"P30043","BLVRB","OID21141","Flavin reductase (NADPH)","17148_7",0.887957451304991,0,0,88,0.63,"2.0293117036547602E-160","Y","Y","1","Both",FALSE
"P00915","CA1","OID20409","Carbonic anhydrase 1","4969_2",0.928551301468776,0,0,88,0.8,"4.38987207642864e-319","Y","Y","1","Both",TRUE
"Q86TH1","ADAMTSL2","OID30370","ADAMTS-like protein 2","6379_62",0.863143249621359,0,0,88,0.65,"3.4422321450884002E-168","Y","Y","1","Both",FALSE
"Q13790","APOF","OID30701","Apolipoprotein F","12370_30",0.514487489383176,2.93298770428745e-07,5.99880999663139e-07,88,0.53,"2.7067546987515501E-98","Y","Y","1","Both",FALSE
"P23284","PPIB","OID20331","Peptidyl-prolyl cis-trans isomerase B","4718_5",0.768553414814554,0,0,88,-0.17,"1.7921908691153001E-10","N","N","3","None",FALSE
"Q9Y646","CPQ","OID30406","Carboxypeptidase Q","9394_19",0.789913968488662,5.85846456872389e-20,1.76378839949047e-19,88,0.41,"7.5150365385220197E-58","Y","Y","2","Both",FALSE
"Q5JS37","NHLRC3","OID30614","NHL repeat-containing protein 3","9087_8",0.12781954887218,0.270546294278612,0.315544180000572,76,-0.17,"4.7918810972232801E-10","Y","N","3","Olink only",FALSE
"P07359","GP1BA","OID20381","Platelet glycoprotein Ib alpha chain","4990_87",0.625286182240851,0,0,88,0.32,"1.48442309628052E-36","Y","Y","2","Both",FALSE
"P80511","S100A12","OID21374","Protein S100-A12","5852_6",0.806124401913876,0,0,76,0.8,"2.79508449513673e-317","Y","Y","1","Both",TRUE
"Q13867","BLMH","OID20336","Bleomycin hydrolase","14250_115",0.695097037793667,0,0,88,-0.13,"7.6660256927261099E-7","Y","N","3","Olink only",FALSE
"P16109","SELP","OID20379","P-selectin","4154_57",0.830381240459426,1.47441470103759e-23,4.53573350809657e-23,88,0.61,"1.09718059199837E-147","Y","Y","1","Both",FALSE
"Q6EMK4","VASN","OID20345","Vasorin","5682_13",0.469514987143813,5.1480070908229e-06,9.48140294541445e-06,88,0.46,"1.33226653823146E-75","Y","Y","2","Both",FALSE
"P08571","CD14","OID20378","Monocyte differentiation antigen CD14","16914_104",0.670177168821105,0,0,88,0.29,"2.5271005774955701E-29","Y","Y","2","Both",FALSE
"P08571","CD14","OID20378","Monocyte differentiation antigen CD14","8969_49",0.670177168821105,0,0,88,0.4,"2.95146051568785E-55","Y","Y","2","Both",FALSE
"Q9UGM5","FETUB","OID20404","Fetuin-B","3367_8",0.84651826282977,0,0,88,0.64,"9.7457466001036993E-168","Y","Y","1","Both",FALSE
"P09486","SPARC","OID21511","SPARC","3043_49",0.896622168997218,0,0,88,0.71,"1.70091978073901E-218","Y","Y","1","Both",TRUE
"P27487","DPP4","OID20406","Dipeptidyl peptidase 4","15460_9",0.853668416047339,0,0,88,0.16,"1.63685259359291E-9","Y","Y","2","Both",FALSE
"Q9Y2V2","CARHSP1","OID20859","Calcium-regulated heat-stable protein 1","12808_103",0.445449833395039,8.28634595527734e-05,0.000140892840113074,74,0.44,"1.8298198821728701E-68","Y","Y","2","Both",FALSE
"P00918","CA2","OID21149","Carbonic anhydrase 2","4970_55",0.904194991370505,0,0,88,0.05,"7.9943488047181196E-2","Y","N","3","Olink only",FALSE
"Q01469","FABP5","OID21043","Fatty acid-binding protein 5","4985_11",0.409918636187524,8.42800482516733e-05,0.000143085976655848,88,0.01,"0.80329441317103401","Y","N","3","Olink only",FALSE
"Q06830","PRDX1","OID20962","Peroxiredoxin-1","3855_56",0.475590856257265,3.7643411107095e-06,7.09506029046916e-06,88,0.4,"1.8317548252928999E-56","Y","Y","2","Both",FALSE
"P05154","SERPINA5","OID30763","Plasma serine protease inhibitor","3389_7",0.53349653059068,1.41878964898126e-07,2.99404395084082e-07,88,0.3,"8.3584518490875894E-30","Y","Y","2","Both",FALSE
"P30101","PDIA3","OID30573","Protein disulfide-isomerase A3","4719_58",0.359356838434715,0.000632191304046778,0.000987197762474153,88,0.36,"3.56090782111758E-44","Y","N","3","Olink only",FALSE
"Q00796","SORD","OID21453","Sorbitol dehydrogenase","15447_45",0.686170212765957,2.33908587722453e-07,4.81902911566879e-07,48,0.73,"1.25958273683192E-243","Y","Y","1","Both",FALSE
"P53634","CTSC","OID20679","Dipeptidyl peptidase 1","3178_5",0.305730689302948,0.00390696898962268,0.00569157159907613,88,-0.01,"0.61875957846720397","Y","N","3","Olink only",FALSE
"P07237","P4HB","OID21509","Protein disulfide-isomerase","4278_14",0.537153222651567,6.83183853640801e-08,1.48045023178592e-07,88,-0.11,"2.1811259632209099E-5","Y","Y","2","Both",FALSE
