"UniProt","Gene.Name","Description","OlinkID","Assay","Panel","Panel_Lot_Nr","PlateID","Analyzed.MS","Detected.MS","Perc.Missing.MS","Analyzed.Olink","Detected.Olink","Perc.Missing.Olink","Overlapping","Detected.Platform","In.HPA","In.HPA.Plasma","In.HPPP","In.Ref.Plasma.Proteome"
"P18669","PGAM1","Phosphoglycerate mutase 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02753","RBP4","Retinol-binding protein 4",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P13671","C6","Complement component C6",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01009","SERPINA1","Alpha-1-antitrypsin","OID30750","SERPINA1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,71.5909090909091,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q07075","ENPEP","Glutamyl aminopeptidase","OID30135","ENPEP","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,54.5454545454545,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P61769","B2M","Beta-2-microglobulin","OID30725","B2M","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05451","REG1A","Lithostathine-1-alpha","OID20415","REG1A","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9UK55","SERPINA10","Protein Z-dependent protease inhibitor",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P27169","PON1","Serum paraoxonase/arylesterase 1","OID30704","PON1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9Y490","TLN1","Talin-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9UKZ9","PCOLCE2","Procollagen C-endopeptidase enhancer 2",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02649","APOE","Apolipoprotein E","OID30727","APOE","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q15848","ADIPOQ","Adiponectin","OID30748","ADIPOQ","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q16706","MAN2A1","Alpha-mannosidase 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P62805","H4C16","Histone H4",NA,NA,NA,NA,NA,TRUE,TRUE,62.5,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P04217","A1BG","Alpha-1B-glycoprotein","OID30771","A1BG","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q96QR1","SCGB3A1","Secretoglobin family 3A member 1","OID30577","SCGB3A1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,1.13636363636364,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q08380","LGALS3BP","Galectin-3-binding protein","OID30765","LGALS3BP","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9P232","CNTN3","Contactin-3","OID21092","CNTN3","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P09871","C1S","Complement C1s subcomponent","OID30731","C1S","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00488","F13A1","Coagulation factor XIII A chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P07988","SFTPB","Pulmonary surfactant-associated protein B",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P15121","AKR1B1","Aldo-keto reductase family 1 member B1","OID21244","AKR1B1","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O43866","CD5L","CD5 antigen-like","OID30775","CD5L","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05362","ICAM1","Intercellular adhesion molecule 1","OID20411","ICAM1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P33908","MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q04446","GBE1","1,4-alpha-glucan-branching enzyme",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P05543","SERPINA7","Thyroxine-binding globulin","OID30724","SERPINA7","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P09211","GSTP1","Glutathione S-transferase P","OID20876","GSTP1","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,60.2272727272727,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00736","C1R","Complement C1r subcomponent","OID30753","C1R","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,FALSE,TRUE,TRUE
"P01034","CST3","Cystatin-C","OID20400","CST3","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07360","C8G","Complement component C8 gamma chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9HCU0","CD248","Endosialin","OID30394","CD248","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02741","CRP","C-reactive protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q04695","KRT17","Keratin, type I cytoskeletal 17","OID30092","KRT17","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,95.4545454545455,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P23142","FBLN1","Fibulin-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P03952","KLKB1","Plasma kallikrein","OID30760","KLKB1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05060","CHGB","Secretogranin-1","OID21038","CHGB","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00742","F10","Coagulation factor X","OID30684","F10","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05160","F13B","Coagulation factor XIII B chain","OID30781","F13B","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P18065","IGFBP2","Insulin-like growth factor-binding protein 2","OID20325","IGFBP2","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9UM47","NOTCH3","Neurogenic locus notch homolog protein 3","OID20253","NOTCH3","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q96S96","PEBP4","Phosphatidylethanolamine-binding protein 4",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P98160","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","OID20383","HSPG2","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P35555","FBN1","Fibrillin-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P04196","HRG","Histidine-rich glycoprotein","OID30770","HRG","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P69905","HBA2","Hemoglobin subunit alpha",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02750","LRG1","Leucine-rich alpha-2-glycoprotein","OID30751","LRG1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P50552","VASP","Vasodilator-stimulated phosphoprotein","OID30692","VASP","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07942","LAMB1","Laminin subunit beta-1","OID30280","LAMB1","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05062","ALDOB","Fructose-bisphosphate aldolase B",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P04264","KRT1","Keratin, type II cytoskeletal 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02763","ORM1","Alpha-1-acid glycoprotein 1","OID30768","ORM1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05107","ITGB2","Integrin beta-2","OID20315","ITGB2","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P51884","LUM","Lumican",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P04066","FUCA1","Tissue alpha-L-fucosidase","OID20261","FUCA1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P26038","MSN","Moesin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P15169","CPN1","Carboxypeptidase N catalytic chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P35908","KRT2","Keratin, type II cytoskeletal 2 epidermal",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P80108","GPLD1","Phosphatidylinositol-glycan-specific phospholipase D",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P26927","MST1","Hepatocyte growth factor-like protein","OID30713","MST1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01859","IGHG2","Immunoglobulin heavy constant gamma 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q96IY4","CPB2","Carboxypeptidase B2","OID30734","CPB2","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08519","LPA","Apolipoprotein(a)","OID30747","LPA","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00748","F12","Coagulation factor XII","OID30739","F12","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02452","COL1A1","Collagen alpha-1(I) chain","OID20335","COL1A1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P05452","CLEC3B","Tetranectin","OID30756","CLEC3B","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9UC07","ZNF69","Zinc finger protein 69",NA,NA,NA,NA,NA,TRUE,TRUE,89.7727272727273,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"P13645","KRT10","Keratin, type I cytoskeletal 10",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O95445","APOM","Apolipoprotein M","OID20374","APOM","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P06703","S100A6","Protein S100-A6",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P07998","RNASE1","Ribonuclease pancreatic","OID30672","RNASE1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q07954","LRP1","Prolow-density lipoprotein receptor-related protein 1","OID21293","LRP1","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02775","PPBP","Platelet basic protein","OID30761","PPBP","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q8WWQ8","STAB2","Stabilin-2","OID30401","STAB2","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P04180","LCAT","Phosphatidylcholine-sterol acyltransferase","OID30677","LCAT","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P12429","ANXA3","Annexin A3","OID21036","ANXA3","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02144","MB","Myoglobin","OID20263","MB","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
