biosequence_name,biosequence_accession,biosequence_gene_name,is_covering,pct_coverage,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,n_distinct_synpeptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
Q9Y6C9,Q9Y6C9,,C,,canonical,0.999,0.000,32,0.045,5,,,,,,,,,Q9Y6C9,4275,29,,,,nP20K \PName=Mitochondrial carrier homolog 2 isoform Iso 1 \GName=MTCH2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=303 \SV=1 \EV=170 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(80|MOD:00046|O-phospho-L-serine)(90|MOD:00134|N6-glycyl-L-lysine)(100,Homo sapiens
Q9Y6C2,Q9Y6C2,,C,,canonical,0.999,0.000,1130,0.513,44,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=EMILIN-1 isoform Iso 1 \GName=EMILIN1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1016 \SV=3 \EV=190 \PE=1 \ModResPsi=(60|MOD:00798|half cystine)(121|MOD:00798|half cystine)(85|MOD:00798|half cystine)(92|MOD:00798|half cystine)(120|MOD:0079,Homo sapiens
Q9Y6B6,Q9Y6B6,,C,,canonical,0.999,0.000,49,0.101,5,,,,,,,,,Q9Y6B6,4274,21,,,,nP20K \PName=GTP-binding protein SAR1b isoform Iso 1 \GName=SAR1B \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=198 \SV=1 \EV=195 \PE=1 \ModResPsi=(143|MOD:00046|O-phospho-L-serine)(158|MOD:00047|O-phospho-L-threonine)(162|MOD:00046|O-phospho-L-serine)(16,Homo sapiens
Q9Y6A5,Q9Y6A5,,C,,canonical,0.999,0.000,5,0.003,5,,,,,,,,,Q9Y6A5,4272,11,,,,nP20K \PName=Transforming acidic coiled-coil-containing protein 3 isoform Iso 1 \GName=TACC3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=838 \SV=1 \EV=184 \PE=1 \ModResPsi=(2|MOD:00060|N-acetyl-L-serine)(17|MOD:00047|O-phospho-L-threonine)(25|MOD:00046|,Homo sapiens
Q9Y696,Q9Y696,,C,,canonical,1.000,0.000,1030,1.559,35,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Chloride intracellular channel protein 4 isoform Iso 1 \GName=CLIC4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=253 \SV=4 \EV=199 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(4|MOD:00046|O-phospho-L-serine)(11|MOD:00134|N6-glycyl-L-lys,Homo sapiens
Q9Y678,Q9Y678,,C,,canonical,0.999,0.000,43,0.019,23,,,,,,,,,Q9Y678,4269,44,,,,nP20K \PName=Coatomer subunit gamma-1 isoform Iso 1 \GName=COPG1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=874 \SV=1 \EV=184 \PE=1 \ModResPsi=(12|MOD:00046|O-phospho-L-serine)(16|MOD:00046|O-phospho-L-serine)(37|MOD:00047|O-phospho-L-threonine)(320|MO,Homo sapiens
Q9Y653,Q9Y653,,C,,canonical,0.999,0.000,12,0.009,5,,,,,,,,,Q9Y653,4267,49,,,,nP20K \PName=Adhesion G-protein coupled receptor G1 isoform Iso 1 \GName=ADGRG1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=693 \SV=2 \EV=190 \PE=1 \ModResPsi=(201|MOD:00046|O-phospho-L-serine)(206|MOD:00046|O-phospho-L-serine)(670|MOD:00046|O-phospho-L,Homo sapiens
Q9Y646,Q9Y646,,C,,canonical,1.000,0.000,3096,3.195,37,,,,,,,,,Q9Y646,4266,15,,,,nP20K \PName=Carboxypeptidase Q isoform Iso 1 \GName=CPQ \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=472 \SV=1 \EV=134 \PE=1 \ModRes=(61||N-linked (GlcNAc...) asparagine)(179||N-linked (GlcNAc...) asparagine)(353||N-linked (GlcNAc...) asparagine)(356||N,Homo sapiens
Q9Y644,Q9Y644,,C,,canonical,0.999,0.000,113,0.171,14,,,,,,,,,Q9Y644,4265,21,,,,"nP20K \PName=Beta-1,3-N-acetylglucosaminyltransferase radical fringe isoform Iso 1 \GName=RFNG \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=331 \SV=3 \EV=157 \PE=1 \ModResPsi=(114|MOD:00798|half cystine)(125|MOD:00798|half cystine)(143|MOD:00798|half cys",Homo sapiens
Q9Y639,Q9Y639,,C,,canonical,0.999,0.000,14,0.014,5,,,,,,,,,Q9Y639,4264,15,,,,nP20K \PName=Neuroplastin isoform Iso 2 \GName=NPTN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=398 \SV=2 \EV=175 \PE=1 \ModResPsi=(52|MOD:00798|half cystine)(116|MOD:00798|half cystine)(170|MOD:00798|half cystine)(218|MOD:00798|half cystine)(259|MOD:00,Homo sapiens
Q9Y625,Q9Y625,,C,,canonical,0.999,0.000,216,0.182,23,,,,,,,,,Q9Y625,4263,8,,,,nP20K \PName=Glypican-6 isoform Iso 1 \GName=GPC6 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=555 \SV=1 \EV=171 \PE=1 \ModResPsi=(529|MOD:00171|N-seryl-glycosylphosphatidylinositolethanolamine) \ModRes=(374||O-linked (GalNAc...) threonine) \VariantSimpl,Homo sapiens
Q9Y624,Q9Y624,,C,,canonical,0.999,0.000,347,0.492,22,,,,,,,,,Q9Y624,4262,22,,,,nP20K \PName=Junctional adhesion molecule A isoform Iso 1 \GName=F11R \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=299 \SV=1 \EV=215 \PE=1 \ModResPsi=(50|MOD:00798|half cystine)(109|MOD:00798|half cystine)(97|MOD:00134|N6-glycyl-L-lysine)(153|MOD:00798|h,Homo sapiens
Q9Y623,Q9Y623,,C,,canonical,1.000,0.000,5525,1.183,234,,,,,,,,,P04114,1033,64541,,,,"nP20K \PName=Myosin-4 isoform Iso 1 \GName=MYH4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1939 \SV=2 \EV=184 \PE=1 \ModResPsi=(64|MOD:00047|O-phospho-L-threonine)(69|MOD:00047|O-phospho-L-threonine)(79|MOD:00046|O-phospho-L-serine)(130|MOD:00083|N6,N6",Homo sapiens
Q9Y617,Q9Y617,,C,,canonical,1.000,0.000,469,0.507,29,,,,,,,,,Q9Y617,4261,9,,,,nP20K \PName=Phosphoserine aminotransferase isoform Iso 1 \GName=PSAT1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=370 \SV=2 \EV=213 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(16|MOD:00134|N6-glycyl-L-lysine)(27|MOD:00134|N6-glycyl-L-lysine)(3,Homo sapiens
Q9Y613,Q9Y613,,C,,canonical,0.999,0.000,401,0.145,41,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=FH1/FH2 domain-containing protein 1 isoform Iso 1 \GName=FHOD1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1164 \SV=3 \EV=191 \PE=1 \ModResPsi=(367|MOD:00046|O-phospho-L-serine)(387|MOD:00046|O-phospho-L-serine)(486|MOD:00046|O-phospho-L-se,Homo sapiens
Q9Y608,Q9Y608,,C,,canonical,0.999,0.000,49,0.030,15,,,,,,,,,P17174,1321,202,,,,nP20K \PName=Leucine-rich repeat flightless-interacting protein 2 isoform Iso 1 \GName=LRRFIP2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=721 \SV=1 \EV=161 \PE=1 \ModResPsi=(18|MOD:00046|O-phospho-L-serine)(25|MOD:00046|O-phospho-L-serine)(102|MOD:0004,Homo sapiens
Q9Y600,Q9Y600,,C,,canonical,0.999,0.000,4,0.003,2,,,,,,,,,Q9Y600,4260,18,,,,nP20K \PName=Cysteine sulfinic acid decarboxylase isoform Iso 1 \GName=CSAD \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=493 \SV=2 \EV=177 \PE=1 \ModResPsi=(305|MOD:00128|N6-pyridoxal phosphate-L-lysine) \VariantSimple=(7|H)(7|I)(8|A)(9|F)(10|V)(11|D)(12,Homo sapiens
Q9Y5Z4,Q9Y5Z4,,C,,canonical,0.999,0.000,154,0.350,12,,,,,,,,,Q9Y5Z4,4259,18,,,,nP20K \PName=Heme-binding protein 2 isoform Iso 1 \GName=HEBP2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=205 \SV=1 \EV=160 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(22|MOD:00047|O-phospho-L-threonine)(37|MOD:00046|O-phospho-L-serine)(141|MOD:0,Homo sapiens
Q9Y5Y7,Q9Y5Y7,,C,,canonical,0.999,0.000,48683,73.682,40,,,,,,,,,Q9Y5Y7,4258,3,,,,nP20K \PName=Lymphatic vessel endothelial hyaluronic acid receptor 1 isoform Iso 1 \GName=LYVE1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=322 \SV=2 \EV=155 \PE=1 \ModResPsi=(61|MOD:00798|half cystine)(128|MOD:00798|half cystine)(85|MOD:00798|half cyst,Homo sapiens
Q9Y5Y6,Q9Y5Y6,,C,,canonical,1.000,0.000,402,0.234,29,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Suppressor of tumorigenicity 14 protein isoform Iso 1 \GName=ST14 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=855 \SV=2 \EV=214 \PE=1 \ModResPsi=(214|MOD:00798|half cystine)(244|MOD:00798|half cystine)(340|MOD:00798|half cystine)(366|MOD:00,Homo sapiens
Q9Y5X9,Q9Y5X9,,C,,canonical,0.999,0.000,240,0.237,19,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Endothelial lipase isoform Iso 1 \GName=LIPG \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=500 \SV=1 \EV=191 \PE=1 \ModResPsi=(64|MOD:00798|half cystine)(77|MOD:00798|half cystine)(252|MOD:00798|half cystine)(272|MOD:00798|half cystine)(297|M,Homo sapiens
Q9Y5X3,Q9Y5X3,,C,,canonical,0.999,0.000,7,0.007,3,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Sorting nexin-5 isoform Iso 1 \GName=SNX5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=404 \SV=1 \EV=191 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(20|MOD:00046|O-phospho-L-serine)(22|MOD:00046|O-phospho-L-serine)(60|MOD:00046|O-phosp,Homo sapiens
Q9Y5X1,Q9Y5X1,,C,,canonical,0.999,0.000,47,0.041,8,,,,,,,,,Q9Y5X1,4256,18,,,,nP20K \PName=Sorting nexin-9 isoform Iso 1 \GName=SNX9 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=595 \SV=1 \EV=196 \PE=1 \ModResPsi=(56|MOD:00048|O4'-phospho-L-tyrosine)(116|MOD:00046|O-phospho-L-serine)(121|MOD:00046|O-phospho-L-serine)(140|MOD:00047,Homo sapiens
Q9Y5S9,Q9Y5S9,,C,,canonical,0.999,0.000,12,0.034,2,,,,,,,,,Q9Y5S9,4254,5,,,,nP20K \PName=RNA-binding protein 8A isoform Iso 1 \GName=RBM8A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=174 \SV=1 \EV=236 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(24|MOD:00046|O-phospho-L-serine)(27|MOD:00134|N6-glycyl-L-lysine)(42|MOD:00046,Homo sapiens
Q9Y5S2,Q9Y5S2,,C,,canonical,0.999,0.000,17,0.004,9,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Serine/threonine-protein kinase MRCK beta isoform Iso 1 \GName=CDC42BPB \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1711 \SV=2 \EV=198 \PE=1 \ModResPsi=(221|MOD:00046|O-phospho-L-serine)(233|MOD:00046|O-phospho-L-serine)(239|MOD:00047|O-pho,Homo sapiens
Q9Y5P6,Q9Y5P6,,C,,canonical,0.999,0.000,13,0.017,7,,,,,,,,,Q9Y5P6,4252,10,,,,nP20K \PName=Mannose-1-phosphate guanyltransferase beta isoform Iso 1 \GName=GMPPB \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=360 \SV=2 \EV=181 \PE=1 \VariantSimple=(3|T)(4|Q)(10|C)(13|Q)(15|P)(17|P)(18|R)(19|M)(20|N)(21|N)(22|L)(22|S)(24|S)(26|G)(27|G,Homo sapiens
Q9Y5M8,Q9Y5M8,,C,,canonical,0.999,0.000,6,0.009,4,,,,,,,,,Q9Y5M8,4251,10,,,,nP20K \PName=Signal recognition particle receptor subunit beta isoform Iso 1 \GName=SRPRB \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=271 \SV=3 \EV=186 \PE=1 \ModResPsi=(112|MOD:00046|O-phospho-L-serine)(114|MOD:00047|O-phospho-L-threonine)(174|MOD:0004,Homo sapiens
Q9Y5L4,Q9Y5L4,,C,,canonical,0.999,0.000,22,0.083,5,,,,,,,,,Q9Y5L4,4250,2,,,,nP20K \PName=Mitochondrial import inner membrane translocase subunit Tim13 isoform Iso 1 \GName=TIMM13 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=95 \SV=1 \EV=183 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(7|MOD:00046|O-phospho-L-serine)(16|M,Homo sapiens
Q9Y5L0,Q9Y5L0,,C,,canonical,0.999,0.000,8,0.004,5,,,,,,,,,P04083,1030,153,,,,nP20K \PName=Transportin-3 isoform Iso 2 \GName=TNPO3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=923 \SV=3 \EV=174 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(74|MOD:00046|O-phospho-L-serine)(594|MOD:00134|N6-glycyl-L-lysine)(896|MOD:00047|O-p,Homo sapiens
Q9Y5K8,Q9Y5K8,,C,,canonical,0.999,0.000,5,0.009,2,,,,,,,,,Q9Y5K8,4249,9,,,,nP20K \PName=V-type proton ATPase subunit D isoform Iso 1 \GName=ATP6V1D \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=247 \SV=1 \EV=189 \PE=1 \ModResPsi=(118|MOD:00046|O-phospho-L-serine)(119|MOD:00048|O4'-phospho-L-tyrosine) \VariantSimple=(1|I)(1|K)(3|,Homo sapiens
Q9Y5K6,Q9Y5K6,,C,,canonical,0.999,0.000,14,0.008,7,,,,,,,,,Q9Y5K6,4248,10,,,,nP20K \PName=CD2-associated protein isoform Iso 1 \GName=CD2AP \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=639 \SV=1 \EV=200 \PE=1 \ModResPsi=(58|MOD:00134|N6-glycyl-L-lysine)(67|MOD:00046|O-phospho-L-serine)(80|MOD:00046|O-phospho-L-serine)(86|MOD:0004,Homo sapiens
Q9Y5K5,Q9Y5K5,,C,,canonical,0.999,0.000,7,0.008,6,,,,,,,,,Q9Y5K5,4247,65,,,,nP20K \PName=Ubiquitin carboxyl-terminal hydrolase isozyme L5 isoform Iso 1 \GName=UCHL5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=329 \SV=3 \EV=188 \PE=1 \ModResPsi=(47|MOD:01819|N6-succinyl-L-lysine)(47|MOD:00134|N6-glycyl-L-lysine)(154|MOD:00134|N6,Homo sapiens
Q9Y5J9,Q9Y5J9,,C,,canonical,0.999,0.000,4,0.013,2,,,,,,,,,Q9Y5J9,4246,7,,,,nP20K \PName=Mitochondrial import inner membrane translocase subunit Tim8 B isoform Iso 1 \GName=TIMM8B \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=83 \SV=1 \EV=177 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(36|MOD:00798|half cystine)(59|MOD:0079,Homo sapiens
Q9Y5J7,Q9Y5J7,,C,,canonical,0.999,0.000,13,0.049,5,,,,,,,,,Q9Y5J7,4245,9,,,,nP20K \PName=Mitochondrial import inner membrane translocase subunit Tim9 isoform Iso 1 \GName=TIMM9 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=89 \SV=1 \EV=185 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(28|MOD:00798|half cystine)(52|MOD:00798|h,Homo sapiens
Q9Y5I4,Q9Y5I4,,C,,canonical,0.999,0.000,1849,0.777,11,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Protocadherin alpha-C2 isoform Long \GName=PCDHAC2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1007 \SV=1 \EV=174 \PE=1 \ModRes=(280||N-linked (GlcNAc...) asparagine)(436||N-linked (GlcNAc...) asparagine)(586||N-linked (GlcNAc...) asparagin,Homo sapiens
Q9Y5E9,Q9Y5E9,,C,,canonical,0.999,0.000,20,0.012,7,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Protocadherin beta-14 isoform Iso 1 \GName=PCDHB14 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=798 \SV=1 \EV=175 \PE=1 \ModResPsi=(96|MOD:00798|half cystine)(102|MOD:00798|half cystine) \ModRes=(169||N-linked (GlcNAc...) asparagine)(359||N-,Homo sapiens
Q9Y5E8,Q9Y5E8,,C,,canonical,1.000,0.000,641,0.416,10,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Protocadherin beta-15 isoform Iso 1 \GName=PCDHB15 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=787 \SV=1 \EV=177 \PE=1 \ModRes=(418||N-linked (GlcNAc...) asparagine)(567||N-linked (GlcNAc...) asparagine) \VariantSimple=(3|S)(4|V)(5|A)(6|Q)(,Homo sapiens
Q9Y5C1,Q9Y5C1,,C,,canonical,1.000,0.000,6640,6.281,67,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Angiopoietin-related protein 3 isoform Iso 1 \GName=ANGPTL3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=460 \SV=1 \EV=190 \PE=1 \ModResPsi=(246|MOD:00798|half cystine)(274|MOD:00798|half cystine)(394|MOD:00798|half cystine)(408|MOD:00798|ha,Homo sapiens
Q9Y5B9,Q9Y5B9,,C,,canonical,0.999,0.000,18,0.007,13,,,,,,,,,Q9Y5B9,4244,6,,,,nP20K \PName=FACT complex subunit SPT16 isoform Iso 1 \GName=SUPT16H \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1047 \SV=1 \EV=185 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(86|MOD:00134|N6-glycyl-L-lysine)(95|MOD:00300|L-glutamyl-5-poly(ADP-rib,Homo sapiens
Q9Y570,Q9Y570,,C,,canonical,0.999,0.000,19,0.023,9,,,,,,,,,Q9Y570,4242,8,,,,nP20K \PName=Protein phosphatase methylesterase 1 isoform Iso 1 \GName=PPME1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=386 \SV=3 \EV=187 \PE=1 \ModResPsi=(15|MOD:00046|O-phospho-L-serine)(16|MOD:00658|methylated arginine)(16|MOD:00077|asymmetric dimet,Homo sapiens
Q9Y547,Q9Y547,,C,,canonical,0.999,0.000,25,0.095,4,,,,,,,,,Q9Y547,4241,9,,,,nP20K \PName=Intraflagellar transport protein 25 homolog isoform Iso 1 \GName=HSPB11 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=144 \SV=1 \EV=176 \PE=1 \VariantSimple=(3|E)(4|T)(5|H)(5|Y)(6|I)(7|S)(8|P)(12|A)(12|R)(14|K)(14|Q)(18|T)(19|I)(20|T)(21|G)(2,Homo sapiens
Q9Y4X3,Q9Y4X3,,C,,canonical,0.999,0.000,1101,4.999,4,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=C-C motif chemokine 27 isoform Iso 1 \GName=CCL27 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=112 \SV=1 \EV=168 \PE=1 \ModResPsi=(33|MOD:00798|half cystine)(62|MOD:00798|half cystine)(34|MOD:00798|half cystine)(77|MOD:00798|half cystine) \V,Homo sapiens
