"Platform","UniProt","Gene.Name","Description","Assay","OlinkID","Panel","Technical.CV","Analyzed"
"MS","A0A0B4J1X8","IGHV3-43","Immunoglobulin heavy variable 3-43",NA,NA,NA,24.8295895114389,TRUE
"MS","A0A0B4J1Y8","IGLV9-49","Immunoglobulin lambda variable 9-49",NA,NA,NA,NA,FALSE
"MS","A0A0B4J1Y9","IGHV3-72","Immunoglobulin heavy variable 3-72",NA,NA,NA,9.88749544176453,TRUE
"MS","A0A0B4J2D9","IGKV1D-13","Immunoglobulin kappa variable 1D-13",NA,NA,NA,21.256364684383,TRUE
"MS","A0A0C4DH25","IGKV3D-20","Immunoglobulin kappa variable 3D-20",NA,NA,NA,20.1669801312197,TRUE
"MS","A0A0C4DH29","IGHV1-3","Immunoglobulin heavy variable 1-3",NA,NA,NA,10.5361017620842,TRUE
"MS","A0A0C4DH31","IGHV1-18","Immunoglobulin heavy variable 1-18",NA,NA,NA,8.32445685455181,TRUE
"MS","A0A0C4DH32","IGHV3-20","Immunoglobulin heavy variable 3-20",NA,NA,NA,37.4550503755929,TRUE
"MS","A0A0C4DH33","IGHV1-24","Immunoglobulin heavy variable 1-24",NA,NA,NA,6.63007413947913,TRUE
"MS","A0A0C4DH34","IGHV4-28","Immunoglobulin heavy variable 4-28",NA,NA,NA,10.7538023653134,TRUE
"MS","A0A0C4DH35","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",NA,NA,NA,5.92241365521,TRUE
"MS","A0A0C4DH36","IGHV3-38","Probable non-functional immunoglobulin heavy variable 3-38",NA,NA,NA,23.896232273109,TRUE
"MS","A0A0C4DH38","IGHV5-51","Immunoglobulin heavy variable 5-51",NA,NA,NA,9.2355580525069,TRUE
"MS","A0A0C4DH42","IGHV3-66","Immunoglobulin heavy variable 3-66",NA,NA,NA,NA,FALSE
"MS","A0A0C4DH43","IGHV2-70D","Immunoglobulin heavy variable 2-70D",NA,NA,NA,13.6984754517892,TRUE
"MS","A0A0C4DH67","IGKV1-8","Immunoglobulin kappa variable 1-8",NA,NA,NA,20.1450025525937,TRUE
"MS","A0A0J9YX35","IGHV3-64D","Immunoglobulin heavy variable 3-64D",NA,NA,NA,12.6838088966167,TRUE
"MS","A0A0J9YXX1","IGHV5-10-1","Immunoglobulin heavy variable 5-10-1",NA,NA,NA,17.2762365870199,TRUE
"MS","A0A1B0GTC6","C3orf85","Uncharacterized protein C3orf85",NA,NA,NA,NA,FALSE
"MS","A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6",NA,NA,NA,NA,FALSE
"MS","A0M8Q6","IGLC7","Immunoglobulin lambda constant 7",NA,NA,NA,21.2076968183705,TRUE
"MS","A1L4H1","SSC5D","Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D","SSC5D","OID20351","Cardiometabolic",3.0725518994205,TRUE
"MS","A2NJV5","IGKV2-29","Immunoglobulin kappa variable 2-29",NA,NA,NA,NA,FALSE
"MS","A2RU67","FAM234B","Protein FAM234B",NA,NA,NA,NA,FALSE
"MS","A2VDF0","FUOM","Fucose mutarotase","FUOM","OID30626","Inflammation II",11.9283026864312,TRUE
"MS","A5A3E0","POTEF","POTE ankyrin domain family member F",NA,NA,NA,NA,FALSE
"MS","A5D6W6","FITM1","Fat storage-inducing transmembrane protein 1",NA,NA,NA,3.90933034724494,TRUE
"MS","A6NCN2","KRT87P","Putative keratin-87 protein",NA,NA,NA,NA,FALSE
"MS","A6NDG6","PGP","Glycerol-3-phosphate phosphatase",NA,NA,NA,11.5322645632327,TRUE
"MS","A6NI73","LILRA5","Leukocyte immunoglobulin-like receptor subfamily A member 5","LILRA5","OID20209","Cardiometabolic",18.9924602089352,TRUE
"MS","A6NMZ7","COL6A6","Collagen alpha-6(VI) chain",NA,NA,NA,8.03526126807427,TRUE
"MS","A8K7I4","CLCA1","Calcium-activated chloride channel regulator 1",NA,NA,NA,NA,FALSE
"MS","A8MVW5","HEPACAM2","HEPACAM family member 2","HEPACAM2","OID31151","Neurology II",3.89164261350474,TRUE
"MS","B2RXH8","HNRNPCL2","Heterogeneous nuclear ribonucleoprotein C-like 2",NA,NA,NA,NA,FALSE
"MS","B9A064","IGLL5","Immunoglobulin lambda-like polypeptide 5",NA,NA,NA,8.203697315716,TRUE
"MS","G2XKQ0","SUMO1P1","Small ubiquitin-related modifier 5",NA,NA,NA,NA,FALSE
"MS","O00139","KIF2A","Kinesin-like protein KIF2A",NA,NA,NA,NA,FALSE
"MS","O00151","PDLIM1","PDZ and LIM domain protein 1",NA,NA,NA,6.36867049487503,TRUE
"MS","O00154","ACOT7","Cytosolic acyl coenzyme A thioester hydrolase",NA,NA,NA,0.0658701734385296,TRUE
"MS","O00161","SNAP23","Synaptosomal-associated protein 23","SNAP23","OID20218","Cardiometabolic",0.978235395312128,TRUE
"MS","O00187","MASP2","Mannan-binding lectin serine protease 2",NA,NA,NA,2.32194107741102,TRUE
"MS","O00194","RAB27B","Ras-related protein Rab-27B","RAB27B","OID30354","Cardiometabolic II",13.2281117740512,TRUE
"MS","O00231","PSMD11","26S proteasome non-ATPase regulatory subunit 11",NA,NA,NA,7.64565940525936,TRUE
"MS","O00232","PSMD12","26S proteasome non-ATPase regulatory subunit 12",NA,NA,NA,34.6575060908898,TRUE
"MS","O00233","PSMD9","26S proteasome non-ATPase regulatory subunit 9","PSMD9","OID21304","Oncology",12.9689844266987,TRUE
"MS","O00241","SIRPB1","Signal-regulatory protein beta-1","SIRPB1","OID20739","Inflammation",10.9497568689174,TRUE
"MS","O00244","ATOX1","Copper transport protein ATOX1","ATOX1","OID21476","Oncology",16.1986714055247,TRUE
"MS","O00264","PGRMC1","Membrane-associated progesterone receptor component 1",NA,NA,NA,NA,FALSE
"MS","O00299","CLIC1","Chloride intracellular channel protein 1",NA,NA,NA,4.36910177550593,TRUE
"MS","O00339","MATN2","Matrilin-2","MATN2","OID20767","Inflammation",17.0719003088605,TRUE
"MS","O00391","QSOX1","Sulfhydryl oxidase 1","QSOX1","OID30729","Inflammation II",1.26093710005648,TRUE
"MS","O00410","IPO5","Importin-5",NA,NA,NA,9.01148839675009,TRUE
"MS","O00429","DNM1L","Dynamin-1-like protein",NA,NA,NA,9.04247068380063,TRUE
"MS","O00442","RTCA","RNA 3'-terminal phosphate cyclase",NA,NA,NA,4.65555886666004,TRUE
"MS","O00451","GFRA2","GDNF family receptor alpha-2","GFRA2","OID21330","Oncology",6.34302502012574,TRUE
"MS","O00461","GOLIM4","Golgi integral membrane protein 4",NA,NA,NA,14.6806463183485,TRUE
"MS","O00462","MANBA","Beta-mannosidase",NA,NA,NA,2.36338552698541,TRUE
"MS","O00468-6","AGRN","Isoform 6 of Agrin",NA,NA,NA,1.70966306515781,TRUE
"MS","O00533-2","CHL1","Isoform 2 of Neural cell adhesion molecule L1-like protein",NA,NA,NA,2.00111699714129,TRUE
"MS","O00584","RNASET2","Ribonuclease T2","RNASET2","OID20321","Cardiometabolic",2.25877671275522,TRUE
"MS","O00585","CCL21","C-C motif chemokine 21","CCL21","OID20686","Inflammation",20.6419882889574,TRUE
"MS","O00587","MFNG","Beta-1,3-N-acetylglucosaminyltransferase manic fringe",NA,NA,NA,NA,FALSE
"MS","O00592","PODXL","Podocalyxin","PODXL","OID21358","Oncology",7.63830925247845,TRUE
"MS","O00602","FCN1","Ficolin-1","FCN1","OID30690","Inflammation II",5.60249590839,TRUE
"MS","O00629","KPNA4","Importin subunit alpha-3",NA,NA,NA,19.3424371116576,TRUE
"MS","O00743","PPP6C","Serine/threonine-protein phosphatase 6 catalytic subunit",NA,NA,NA,NA,FALSE
"MS","O00748","CES2","Cocaine esterase","CES2","OID21366","Oncology",7.36472989741692,TRUE
"MS","O00754","MAN2B1","Lysosomal alpha-mannosidase",NA,NA,NA,7.31886473184245,TRUE
"MS","O00764","PDXK","Pyridoxal kinase",NA,NA,NA,NA,FALSE
"MS","O14498","ISLR","Immunoglobulin superfamily containing leucine-rich repeat protein",NA,NA,NA,5.28803306686537,TRUE
"MS","O14579","COPE","Coatomer subunit epsilon","COPE","OID20797","Neurology",NA,FALSE
"MS","O14594","NCAN","Neurocan core protein","NCAN","OID21055","Neurology",9.25438991090484,TRUE
"MS","O14618","CCS","Copper chaperone for superoxide dismutase","CCS","OID20973","Neurology",5.72863475474579,TRUE
"MS","O14638","ENPP3","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3",NA,NA,NA,5.41181845858709,TRUE
"MS","O14656","TOR1A","Torsin-1A",NA,NA,NA,11.003470770831,TRUE
"MS","O14657","TOR1B","Torsin-1B",NA,NA,NA,12.6532860749075,TRUE
"MS","O14672","ADAM10","Disintegrin and metalloproteinase domain-containing protein 10",NA,NA,NA,7.41501430716719,TRUE
"MS","O14737","PDCD5","Programmed cell death protein 5","PDCD5","OID21021","Neurology",NA,FALSE
"MS","O14745","SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1","SLC9A3R1","OID30630","Inflammation II",7.56853143830255,TRUE
"MS","O14773","TPP1","Tripeptidyl-peptidase 1","TPP1","OID20750","Inflammation",12.0554579646939,TRUE
"MS","O14786","NRP1","Neuropilin-1","NRP1","OID20390","Cardiometabolic",1.80039879280188,TRUE
"MS","O14791","APOL1","Apolipoprotein L1","APOL1","OID30708","Inflammation II",5.094416709373,TRUE
"MS","O14793","MSTN","Growth/differentiation factor 8","MSTN","OID20115","Cardiometabolic",3.95804860526024,TRUE
"MS","O14798","TNFRSF10C","Tumor necrosis factor receptor superfamily member 10C","TNFRSF10C","OID20265","Cardiometabolic",NA,FALSE
"MS","O14818","PSMA7","Proteasome subunit alpha type-7",NA,NA,NA,10.388941501057,TRUE
"MS","O14917","PCDH17","Protocadherin-17","PCDH17","OID20132","Cardiometabolic",89.0686777864958,TRUE
"MS","O14939","PLD2","Phospholipase D2",NA,NA,NA,NA,FALSE
"MS","O14960","LECT2","Leukocyte cell-derived chemotaxin-2","LECT2","OID30320","Cardiometabolic II",9.68143529596192,TRUE
"MS","O14964","HGS","Hepatocyte growth factor-regulated tyrosine kinase substrate","HGS","OID21175","Oncology",NA,FALSE
"MS","O14980","XPO1","Exportin-1",NA,NA,NA,15.8155609838913,TRUE
"MS","O15031","PLXNB2","Plexin-B2","PLXNB2","OID20317","Cardiometabolic",2.20732133629044,TRUE
"MS","O15067","PFAS","Phosphoribosylformylglycinamidine synthase",NA,NA,NA,12.9569755461998,TRUE
"MS","O15116","LSM1","U6 snRNA-associated Sm-like protein LSm1","LSM1","OID21210","Oncology",NA,FALSE
"MS","O15143","ARPC1B","Actin-related protein 2/3 complex subunit 1B",NA,NA,NA,11.9342818849902,TRUE
"MS","O15144","ARPC2","Actin-related protein 2/3 complex subunit 2",NA,NA,NA,3.52057629030865,TRUE
"MS","O15145","ARPC3","Actin-related protein 2/3 complex subunit 3",NA,NA,NA,16.0220121225688,TRUE
"MS","O15204","ADAMDEC1","ADAM DEC1",NA,NA,NA,3.71658846247217,TRUE
"MS","O15230","LAMA5","Laminin subunit alpha-5",NA,NA,NA,15.5457804188695,TRUE
"MS","O15231","ZNF185","Zinc finger protein 185",NA,NA,NA,24.1782537686528,TRUE
"MS","O15240","VGF","Neurosecretory protein VGF","VGF","OID31067","Neurology II",4.75627581202447,TRUE
"MS","O15247","CLIC2","Chloride intracellular channel protein 2",NA,NA,NA,16.0786301251085,TRUE
"MS","O15335","CHAD","Chondroadherin","CHAD","OID30660","Inflammation II",9.71310057925885,TRUE
"MS","O15394","NCAM2","Neural cell adhesion molecule 2","NCAM2","OID21095","Neurology",3.49884180002977,TRUE
"MS","O15400","STX7","Syntaxin-7","STX7","OID30560","Inflammation II",NA,FALSE
"MS","O15467","CCL16","C-C motif chemokine 16","CCL16","OID20334","Cardiometabolic",4.01821787335192,TRUE
"MS","O15511","ARPC5","Actin-related protein 2/3 complex subunit 5",NA,NA,NA,3.45900617326247,TRUE
"MS","O43150","ASAP2","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",NA,NA,NA,NA,FALSE
"MS","O43157","PLXNB1","Plexin-B1",NA,NA,NA,2.60107510745035,TRUE
"MS","O43242","PSMD3","26S proteasome non-ATPase regulatory subunit 3",NA,NA,NA,NA,FALSE
"MS","O43278","SPINT1","Kunitz-type protease inhibitor 1","SPINT1","OID21109","Neurology",6.26756194833559,TRUE
"MS","O43280","TREH","Trehalase","TREH","OID30388","Cardiometabolic II",4.34647836671131,TRUE
"MS","O43291","SPINT2","Kunitz-type protease inhibitor 2","SPINT2","OID20720","Inflammation",68.9117537368805,TRUE
"MS","O43294","TGFB1I1","Transforming growth factor beta-1-induced transcript 1 protein",NA,NA,NA,NA,FALSE
"MS","O43396","TXNL1","Thioredoxin-like protein 1","TXNL1","OID30872","Neurology II",4.17165283841001,TRUE
"MS","O43399","TPD52L2","Tumor protein D54","TPD52L2","OID30609","Inflammation II",8.85565037049693,TRUE
"MS","O43451","MGAM","Maltase-glucoamylase",NA,NA,NA,4.24749549454895,TRUE
"MS","O43488","AKR7A2","Aflatoxin B1 aldehyde reductase member 2",NA,NA,NA,22.2182489983863,TRUE
"MS","O43493","TGOLN2","Trans-Golgi network integral membrane protein 2","TGOLN2","OID30691","Inflammation II",3.23406183774859,TRUE
"MS","O43504","LAMTOR5","Ragulator complex protein LAMTOR5","LAMTOR5","OID31396","Oncology II",13.7259194255486,TRUE
"MS","O43505","B4GAT1","Beta-1,4-glucuronyltransferase 1","B4GAT1","OID21127","Neurology",3.59685257510987,TRUE
"MS","O43508","TNFSF12","Tumor necrosis factor ligand superfamily member 12","TNFSF12","OID20624","Inflammation",16.9822383944124,TRUE
"MS","O43529","CHST10","Carbohydrate sulfotransferase 10",NA,NA,NA,17.0488073095559,TRUE
"MS","O43583","DENR","Density-regulated protein","DENR","OID30493","Inflammation II",2.55388257259617,TRUE
"MS","O43598","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1","DNPH1","OID20744","Inflammation",NA,FALSE
"MS","O43633","CHMP2A","Charged multivesicular body protein 2a",NA,NA,NA,NA,FALSE
"MS","O43639","NCK2","Cytoplasmic protein NCK2","NCK2","OID20683","Inflammation",7.39044622518181,TRUE
"MS","O43665","RGS10","Regulator of G-protein signaling 10","RGS10","OID30999","Neurology II",12.4187085776621,TRUE
"MS","O43681","GET3","ATPase GET3","GET3","OID30303","Cardiometabolic II",20.9402973934588,TRUE
"MS","O43707","ACTN4","Alpha-actinin-4","ACTN4","OID20435","Inflammation",10.6101364105299,TRUE
"MS","O43708","GSTZ1","Maleylacetoacetate isomerase",NA,NA,NA,NA,FALSE
"MS","O43768","ENSA","Alpha-endosulfine","ENSA","OID31355","Oncology II",10.2625267769443,TRUE
"MS","O43790","KRT86","Keratin, type II cuticular Hb6",NA,NA,NA,NA,FALSE
"MS","O43813","LANCL1","Glutathione S-transferase LANCL1",NA,NA,NA,NA,FALSE
"MS","O43824","GTPBP6","Putative GTP-binding protein 6",NA,NA,NA,NA,FALSE
"MS","O43827","ANGPTL7","Angiopoietin-related protein 7","ANGPTL7","OID21412","Oncology",NA,FALSE
"MS","O43852","CALU","Calumenin",NA,NA,NA,9.0107911797047,TRUE
"MS","O43865","AHCYL1","S-adenosylhomocysteine hydrolase-like protein 1",NA,NA,NA,9.86806596273021,TRUE
"MS","O43866","CD5L","CD5 antigen-like","CD5L","OID30775","Inflammation II",2.12128268692944,TRUE
"MS","O43895","XPNPEP2","Xaa-Pro aminopeptidase 2","XPNPEP2","OID21508","Oncology",6.71006531426312,TRUE
"MS","O43915","VEGFD","Vascular endothelial growth factor D","VEGFD","OID20662","Inflammation",4.95557715727546,TRUE
"MS","O60234","GMFG","Glia maturation factor gamma","GMFG","OID30340","Cardiometabolic II",9.93720386367936,TRUE
"MS","O60242","ADGRB3","Adhesion G protein-coupled receptor B3","ADGRB3","OID20974","Neurology",NA,FALSE
"MS","O60243","HS6ST1","Heparan-sulfate 6-O-sulfotransferase 1","HS6ST1","OID21441","Oncology",NA,FALSE
"MS","O60245","PCDH7","Protocadherin-7","PCDH7","OID31456","Oncology II",13.7161342011461,TRUE
"MS","O60256","PRPSAP2","Phosphoribosyl pyrophosphate synthase-associated protein 2",NA,NA,NA,23.0512520543058,TRUE
"MS","O60268","KIAA0513","Uncharacterized protein KIAA0513",NA,NA,NA,NA,FALSE
"MS","O60279","SUSD5","Sushi domain-containing protein 5","SUSD5","OID30650","Inflammation II",5.45731308635609,TRUE
"MS","O60449-3","LY75","Isoform 3 of Lymphocyte antigen 75",NA,NA,NA,14.4056581582026,TRUE
"MS","O60462","NRP2","Neuropilin-2","NRP2","OID21081","Neurology",3.22329882289415,TRUE
"MS","O60476","MAN1A2","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","MAN1A2","OID30262","Cardiometabolic II",NA,FALSE
"MS","O60493","SNX3","Sorting nexin-3",NA,NA,NA,NA,FALSE
"MS","O60506","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q",NA,NA,NA,11.2395819924507,TRUE
"MS","O60547","GMDS","GDP-mannose 4,6 dehydratase",NA,NA,NA,NA,FALSE
"MS","O60568","PLOD3","Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3",NA,NA,NA,4.17727393863344,TRUE
"MS","O60610","DIAPH1","Protein diaphanous homolog 1",NA,NA,NA,8.14573867051066,TRUE
"MS","O60613","SELENOF","Selenoprotein F",NA,NA,NA,10.5714292969149,TRUE
"MS","O60664","PLIN3","Perilipin-3","PLIN3","OID20143","Cardiometabolic",8.00920408390332,TRUE
"MS","O60667","FCMR","Fas apoptotic inhibitory molecule 3",NA,NA,NA,7.7422029014738,TRUE
"MS","O60684","KPNA6","Importin subunit alpha-7",NA,NA,NA,NA,FALSE
"MS","O60704","TPST2","Protein-tyrosine sulfotransferase 2",NA,NA,NA,NA,FALSE
"MS","O60749","SNX2","Sorting nexin-2","SNX2","OID31374","Oncology II",NA,FALSE
"MS","O60760","HPGDS","Hematopoietic prostaglandin D synthase","HPGDS","OID21266","Oncology",17.2416855600515,TRUE
"MS","O60814","H2BC12","Histone H2B type 1-K",NA,NA,NA,16.8986773666538,TRUE
"MS","O60844","ZG16","Zymogen granule membrane protein 16",NA,NA,NA,8.51640590294886,TRUE
"MS","O60888","CUTA","Protein CutA",NA,NA,NA,14.0049513669972,TRUE
"MS","O60896","RAMP3","Receptor activity-modifying protein 3",NA,NA,NA,NA,FALSE
"MS","O60925","PFDN1","Prefoldin subunit 1",NA,NA,NA,NA,FALSE
"MS","O75015","FCGR3B","Low affinity immunoglobulin gamma Fc region receptor III-B","FCGR3B","OID20387","Cardiometabolic",49.6830996613793,TRUE
"MS","O75019","LILRA1","Leukocyte immunoglobulin-like receptor subfamily A member 1",NA,NA,NA,NA,FALSE
"MS","O75023","LILRB5","Leukocyte immunoglobulin-like receptor subfamily B member 5","LILRB5","OID20324","Cardiometabolic",3.79863555921946,TRUE
"MS","O75051","PLXNA2","Plexin-A2",NA,NA,NA,5.35281994246572,TRUE
"MS","O75063","FAM20B","Glycosaminoglycan xylosylkinase",NA,NA,NA,21.3987821844293,TRUE
"MS","O75071","EFCAB14","EF-hand calcium-binding domain-containing protein 14","EFCAB14","OID31460","Oncology II",3.39875655221966,TRUE
"MS","O75083","WDR1","WD repeat-containing protein 1",NA,NA,NA,2.83440788972138,TRUE
"MS","O75116","ROCK2","Rho-associated protein kinase 2",NA,NA,NA,11.9624867191288,TRUE
"MS","O75131","CPNE3","Copine-3",NA,NA,NA,NA,FALSE
"MS","O75144","ICOSLG","ICOS ligand","ICOSLG","OID21351","Oncology",4.93671194329265,TRUE
"MS","O75223","GGCT","Gamma-glutamylcyclotransferase","GGCT","OID30304","Cardiometabolic II",8.36269415511553,TRUE
"MS","O75309","CDH16","Cadherin-16",NA,NA,NA,NA,FALSE
"MS","O75326","SEMA7A","Semaphorin-7A","SEMA7A","OID20283","Cardiometabolic",2.52775006718961,TRUE
"MS","O75339","CILP","Cartilage intermediate layer protein 1","CILP","OID30399","Cardiometabolic II",4.127133757251,TRUE
"MS","O75340","PDCD6","Programmed cell death protein 6","PDCD6","OID20163","Cardiometabolic",7.15086341346821,TRUE
"MS","O75347","TBCA","Tubulin-specific chaperone A","TBCA","OID30616","Inflammation II",6.94252599015189,TRUE
"MS","O75348","ATP6V1G1","V-type proton ATPase subunit G 1","ATP6V1G1","OID30242","Cardiometabolic II",NA,FALSE
"MS","O75351","VPS4B","Vacuolar protein sorting-associated protein 4B","VPS4B","OID31386","Oncology II",15.6396901572345,TRUE
"MS","O75356","ENTPD5","Nucleoside diphosphate phosphatase ENTPD5","ENTPD5","OID20104","Cardiometabolic",4.06041917535886,TRUE
"MS","O75367","MACROH2A1","Core histone macro-H2A.1",NA,NA,NA,NA,FALSE
"MS","O75368","SH3BGRL","Adapter SH3BGRL",NA,NA,NA,3.65314953543542,TRUE
"MS","O75369","FLNB","Filamin-B",NA,NA,NA,13.3670754840453,TRUE
"MS","O75400","PRPF40A","Pre-mRNA-processing factor 40 homolog A",NA,NA,NA,NA,FALSE
"MS","O75420","GIGYF1","GRB10-interacting GYF protein 1",NA,NA,NA,NA,FALSE
"MS","O75436","VPS26A","Vacuolar protein sorting-associated protein 26A",NA,NA,NA,NA,FALSE
"MS","O75478","TADA2A","Transcriptional adapter 2-alpha",NA,NA,NA,3.38620065021275,TRUE
"MS","O75503","CLN5","Ceroid-lipofuscinosis neuronal protein 5",NA,NA,NA,8.213055944627,TRUE
"MS","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21","TNFRSF21","OID21052","Neurology",12.3046270953563,TRUE
"MS","O75556","SCGB2A1","Mammaglobin-B",NA,NA,NA,NA,FALSE
"MS","O75558","STX11","Syntaxin-11",NA,NA,NA,NA,FALSE
"MS","O75563","SKAP2","Src kinase-associated phosphoprotein 2","SKAP2","OID20761","Inflammation",NA,FALSE
"MS","O75581","LRP6","Low-density lipoprotein receptor-related protein 6",NA,NA,NA,1.63758383909108,TRUE
"MS","O75594","PGLYRP1","Peptidoglycan recognition protein 1","PGLYRP1","OID20338","Cardiometabolic",10.8622941822174,TRUE
"MS","O75608","LYPLA1","Acyl-protein thioesterase 1",NA,NA,NA,NA,FALSE
"MS","O75629","CREG1","Protein CREG1","CREG1","OID21515","Oncology",11.9903507903455,TRUE
"MS","O75636","FCN3","Ficolin-3",NA,NA,NA,1.91551746169922,TRUE
"MS","O75643","SNRNP200","U5 small nuclear ribonucleoprotein 200 kDa helicase",NA,NA,NA,NA,FALSE
"MS","O75676","RPS6KA4","Ribosomal protein S6 kinase alpha-4",NA,NA,NA,NA,FALSE
"MS","O75695","RP2","Protein XRP2","RP2","OID21302","Oncology",NA,FALSE
"MS","O75711","SCRG1","Scrapie-responsive protein 1","SCRG1","OID30333","Cardiometabolic II",NA,FALSE
"MS","O75715","GPX5","Epididymal secretory glutathione peroxidase",NA,NA,NA,1.21250181990859,TRUE
"MS","O75752","B3GALNT1","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",NA,NA,NA,11.9425270865238,TRUE
"MS","O75787","ATP6AP2","Renin receptor","ATP6AP2","OID21178","Oncology",NA,FALSE
"MS","O75791","GRAP2","GRB2-related adapter protein 2","GRAP2","OID20192","Cardiometabolic",NA,FALSE
"MS","O75820","ZNF189","Zinc finger protein 189",NA,NA,NA,NA,FALSE
"MS","O75821","EIF3G","Eukaryotic translation initiation factor 3 subunit G",NA,NA,NA,NA,FALSE
"MS","O75832","PSMD10","26S proteasome non-ATPase regulatory subunit 10",NA,NA,NA,6.00567142594081,TRUE
"MS","O75874","IDH1","Isocitrate dehydrogenase [NADP] cytoplasmic",NA,NA,NA,4.68382625364278,TRUE
"MS","O75882","ATRN","Attractin",NA,NA,NA,2.76927492059993,TRUE
"MS","O75888","TNFSF13","Tumor necrosis factor ligand superfamily member 13","TNFSF13","OID20733","Inflammation",NA,FALSE
"MS","O75954","TSPAN9","Tetraspanin-9",NA,NA,NA,NA,FALSE
"MS","O75976","CPD","Carboxypeptidase D",NA,NA,NA,5.51636743407083,TRUE
"MS","O76003","GLRX3","Glutaredoxin-3",NA,NA,NA,6.94915683750244,TRUE
"MS","O76031","CLPX","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",NA,NA,NA,16.0176465633725,TRUE
"MS","O76054","SEC14L2","SEC14-like protein 2",NA,NA,NA,NA,FALSE
"MS","O76061","STC2","Stanniocalcin-2","STC2","OID21157","Neurology",7.75268478270077,TRUE
