"UniProt","Gene.Name","Description","OlinkID","Assay","Panel","N","Correlation_Spearman","Correlation_Pearson","P.value_Spearman","P.value_Pearson","Adj.p.value_Spearman","Adj.p.value_Pearson","Cor.interval_Spearman","Cor.interval_Pearson","N.cleanData","Correlation_Spearman.cleanData","Correlation_Pearson.cleanData","P.value_Spearman.cleanData","P.value_Pearson.cleanData","Adj.p.value_Spearman.cleanData","Adj.p.value_Pearson.cleanData","Cor.interval_Spearman.cleanData","Cor.interval_Pearson.cleanData","No.missing.or.QCwarn","N.Missing.MS","Perc.Missing.MS","N.below.LOD","Perc.below.LOD","N.Missing.values","Perc.Missing.values","Median.Dist.LOD","Panel.type","Panel.version","N.sample.QC.warning","Assay.QC.warning","Blood.conc.ngmL","Sequence.coverage.MS","Protein.count.MS","min.PSMs","median.PSMs","max.PSMs","min.Unique.peptides","median.Unique.peptides","max.Unique.peptides","Abs.precursor.error","MSGF.score","Percolator.SVM.score","Precursor.ion.fraction","IQR.MS","IQR.Olink","IQR.Olink.cleanData","SD.MS","SD.Olink","SD.Olink.cleanData","CV.MS","CV.Olink","CV.Olink.cleanData","Range.MS","Range.Olink","Range.Olink.cleanData","Technical.CV.MS","Technical.CV.Olink","Length","Mass","UniProt.Isoforms","Isoform.N","Isoform.event"
"P13647","KRT5","Keratin, type II cytoskeletal 5","OID20860","KRT5","Neurology",88,0.0137367475608467,-0.0178585360945676,0.898773990230731,0.868829297045852,0.915808515316332,0.892546202333727,"No correlation","No correlation",79,0.0301363193768257,-0.00106323383376707,0.79166636408629,0.99258009973271,0.824904264868538,0.993492397618494,"No correlation","No correlation",FALSE,0,0,3,3.40909090909091,3,3.41,1.5814,"Neurology","I",6,"PASS",2900,0.494915254237288,1,14,21,34,12,15.5,24,1.0977355,145,1.204,0.489308094123513,1.28594207460346,1.091325,0.94285,0.956622590031184,0.801526974333276,0.720005122080937,74.310384316958,60.1336829119885,53.1819822423371,3.79204411477834,4.2395,4.1096,7.38412636026247,6.1471124352909,590,62378,"ALTERNATIVE PRODUCTS:",NA,NA
"P00734","F2","Prothrombin","OID30723","F2","Inflammation II",88,0.469816446309925,0.517367333856959,3.8740409308596e-06,2.4515687630127e-07,7.27752447743842e-06,4.63621630392184e-07,"Weak correlation","Moderate correlation",88,0.469816446309925,0.517367333856959,3.8740409308596e-06,2.4515687630127e-07,7.3829889991251e-06,4.6674097603511e-07,"Weak correlation","Moderate correlation",TRUE,0,0,0,0,0,0,1.5252,"Inflammation","II",0,"PASS",54000,0.842443729903537,1,1148,1318.5,1764,68,82,88,1.2814159,137,1.607,0.470042322732745,0.260479892373779,0.2744,0.2744,0.259559164522475,0.225922865251895,0.225922865251895,18.1378448286315,15.7562776885582,15.7562776885582,1.23225386345795,1.3956,1.3956,1.81905432076169,0.539145896795704,622,70037,"ALTERNATIVE PRODUCTS:",NA,NA
"P02765","AHSG","Alpha-2-HS-glycoprotein","OID30706","AHSG","Inflammation II",88,0.615177344933254,0.648823848461397,0,8.14372899226895e-12,0,2.13324130679157e-11,"Moderate correlation","Moderate correlation",88,0.615177344933254,0.648823848461397,0,8.14372899226895e-12,0,2.13699298134479e-11,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,6.1357,"Inflammation","II",0,"PASS",110000,0.683923705722071,1,711,811.5,995,22,26.5,29,1.04874955,125,2.157,0.482244607408489,0.39694235243043,0.504325,0.504325,0.258808427461796,0.403041015669837,0.403041015669837,18.0845338629864,28.4907267117822,28.4907267117822,1.2837501575729,2.0932,2.0932,1.60230864222762,3.52512241154221,367,39341,"ALTERNATIVE PRODUCTS:",NA,NA
"P01011","SERPINA3","Alpha-1-antichymotrypsin","OID30786","SERPINA3","Inflammation II",88,0.825508083547603,0.859770952691244,0,7.90881161122058e-27,0,9.60112721405166e-26,"Strong correlation","Strong correlation",88,0.825508083547603,0.859770952691244,0,7.90881161122058e-27,0,9.36162591806437e-26,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,1.1629,"Inflammation","II",0,"PASS",130000,0.895981087470449,2,2090,2546.5,2742,88,108,119,1.0028784,150,2.219,0.511128882673535,0.420649950066056,0.361575,0.361575,0.339976302272091,0.312456299119922,0.312456299119922,23.8963398942642,21.9142907311696,21.9142907311696,1.59509938266194,1.4512,1.4512,3.75415456439325,0.740105032932589,423,47651,"ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=P01011-1; Sequence=Displayed; Name=2; IsoId=P01011-2; Sequence=VSP_014227, VSP_014228; Name=3; IsoId=P01011-3; Sequence=VSP_014225, VSP_014226;",3,"Alternative splicing"
"P01008","SERPINC1","Antithrombin-III","OID30789","SERPINC1","Inflammation II",88,0.584915047534144,0.609942035536917,2.17496874848348e-09,2.82853061114065e-10,5.26939853441599e-09,6.5979567354913e-10,"Moderate correlation","Moderate correlation",88,0.584915047534144,0.609942035536917,2.17496874848348e-09,2.82853061114065e-10,5.33722668167183e-09,6.6100211062922e-10,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,1.8878,"Inflammation","II",0,"PASS",110000,0.881465517241379,1,2451,2528.5,3238,93,103.5,109,1.0841535,149,2.16,0.48205670342003,0.267095091896881,0.24955,0.24955,0.205283902970311,0.220137344038521,0.220137344038521,14.3015252268567,15.3480075613541,15.3480075613541,1.00816723294346,1.3889,1.3889,1.30226240267924,4.53111574954193,464,52602,"ALTERNATIVE PRODUCTS:",NA,NA
"P04275","VWF","von Willebrand factor","OID20256","VWF","Cardiometabolic",88,0.714275650734388,0.721471495950114,0,2.20730013234812e-15,0,7.76337024741754e-15,"Strong correlation","Strong correlation",88,0.714275650734388,0.721471495950114,0,2.20730013234812e-15,0,7.82980405253129e-15,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,7.7211,"Cardiometabolic","I",0,"PASS",5000,0.613935300391042,2,367,486.5,587,140,147,153,1.0541592,136,1.513,0.481859139284419,0.872767007297933,0.687525,0.687525,0.590706287898363,0.652549941517308,0.652549941517308,42.7221654916093,47.6464512812833,47.6464512812833,2.97713111053905,3.1209,3.1209,3.21976312390421,0.504836160399774,2813,309265,"ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P04275-1; Sequence=Displayed; Name=2; IsoId=P04275-2; Sequence=VSP_056527, VSP_056528, VSP_056529;",2,"Alternative splicing"
"P00747","PLG","Plasminogen","OID30785","PLG","Inflammation II",88,0.513137966256913,0.60802210429141,4.79435400397903e-07,3.32861673457471e-10,9.66576012587914e-07,7.6850885344271e-10,"Moderate correlation","Moderate correlation",88,0.513137966256913,0.60802210429141,4.79435400397903e-07,3.32861673457471e-10,9.80418459240655e-07,7.71247579564226e-10,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,4.9372,"Inflammation","II",0,"PASS",54000,0.841975308641975,3,977,1162.5,1717,74,85.5,93,1.14650165,139,1.7255,0.487081351024746,0.246473109662841,0.3175,0.3175,0.201177648269421,0.2621858144441,0.2621858144441,14.0126358165182,18.3244261484938,18.3244261484938,0.893308731110656,1.3525,1.3525,2.60086699246752,4.64893254864531,810,90569,"ALTERNATIVE PRODUCTS:",NA,NA
"P00751","CFB","Complement factor B","OID30755","CFB","Inflammation II",88,0.823641294776514,0.855071362680882,0,2.9428428874719e-26,0,3.13440530184508e-25,"Strong correlation","Strong correlation",88,0.823641294776514,0.855071362680882,0,2.9428428874719e-26,0,3.06770168255944e-25,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,5.7577,"Inflammation","II",0,"PASS",110000,0.784031413612565,2,1622,1968,2472,96,109,123,1.3353138,147,2.138,0.469450537613764,0.373228006152993,0.58855,0.58855,0.287770305139688,0.494159026682745,0.494159026682745,20.1467777889785,35.2821416677944,35.2821416677944,1.78703827400687,3.2106,3.2106,1.62146685732342,0.695991710178138,764,85533,"ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P00751-1; Sequence=Displayed; Name=2; IsoId=P00751-2; Sequence=VSP_005380, VSP_005381;",2,"Alternative splicing"
"P05546","SERPIND1","Heparin cofactor 2","OID30767","SERPIND1","Inflammation II",88,0.769317471389336,0.844856697952993,2.03827232748992e-18,4.3913859206327e-25,6.05581436246346e-18,4.02078786576217e-24,"Strong correlation","Strong correlation",88,0.769317471389336,0.844856697952993,2.03827232748992e-18,4.3913859206327e-25,6.0319603837913e-18,3.94191225544919e-24,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,3.7554,"Inflammation","II",0,"PASS",40000,0.893787575150301,1,664,822.5,1091,64,73.5,99,1.0982584,153,2.05,0.478374214907712,0.316160417412224,0.444925,0.444925,0.282236870670639,0.412546356153712,0.412546356153712,19.751849373637,29.1901835068046,29.1901835068046,1.97437746369255,2.8629,2.8629,3.44261287433935,3.26512935986164,499,57071,"ALTERNATIVE PRODUCTS:",NA,NA
"P06727","APOA4","Apolipoprotein A-IV","OID30733","APOA4","Inflammation II",88,0.751963650452608,0.75696994068246,0,1.4420853990677e-17,0,6.26197852133629e-17,"Strong correlation","Strong correlation",88,0.751963650452608,0.75696994068246,0,1.4420853990677e-17,0,6.23186904597114e-17,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,4.0526,"Inflammation","II",0,"PASS",66000,0.919191919191919,1,882,997.5,1426,41,50,54,1.14229215,129,1.11,0.486794058165651,0.499609431242796,0.5373,0.5373,0.375084150191215,0.510939104621225,0.510939104621225,26.44444397054,36.5556852543203,36.5556852543203,1.86495409379333,2.95,2.95,3.34830631133872,2.14210971635896,396,45372,"ALTERNATIVE PRODUCTS:",NA,NA
"P02766","TTR","Transthyretin","OID30782","TTR","Inflammation II",88,0.455760628368145,0.558973478616289,1.0250922859223e-05,1.5129303812895e-08,1.83995101876992e-05,3.11129034695054e-08,"Weak correlation","Moderate correlation",88,0.455760628368145,0.558973478616289,1.0250922859223e-05,1.5129303812895e-08,1.86566796037859e-05,3.13824987661765e-08,"Weak correlation","Moderate correlation",TRUE,0,0,0,0,0,0,4.9124,"Inflammation","II",0,"PASS",80000,0.802721088435374,1,1370,1589.5,1829,21,23.5,28,1.0683764,199,2.99,0.485005676890837,0.844067353207129,0.4411,0.4411,0.580168524147683,0.503917040688535,0.503917040688535,41.896191210796,36.0218011233394,36.0218011233394,2.76191815963233,3.3354,3.3354,31.6767728529509,6.07830217831653,147,15887,"ALTERNATIVE PRODUCTS:",NA,NA
"P02652","APOA2","Apolipoprotein A-II","OID30686","APOA2","Inflammation II",88,0.00405057940896763,0.125625051014506,0.970124637455413,0.243515668116379,0.976091802226809,0.281113690494265,"No correlation","No correlation",88,0.00405057940896763,0.125625051014506,0.970124637455413,0.243515668116379,0.980784116779621,0.285148992020147,"No correlation","No correlation",TRUE,0,0,0,0,0,0,2.8495,"Inflammation","II",0,"PASS",60000,0.78,1,363,402,509,14,16,17,1.2988311,151,2.4585,0.542853402631868,0.396863812481922,0.524075,0.524075,0.383853024850719,0.514549679633432,0.514549679633432,27.0845643082321,36.8307284563987,36.8307284563987,2.10870451765446,3.8202,3.8202,1.93703755824891,18.5914649060717,100,11175,"ALTERNATIVE PRODUCTS:",NA,NA
"P06396","GSN","Gelsolin","OID30714","GSN","Inflammation II",88,0.636419272043399,0.705724985320985,2.66693908200831e-11,1.61597245967584e-14,7.10135430091364e-11,5.22760145264762e-14,"Moderate correlation","Strong correlation",88,0.636419272043399,0.705724985320985,2.66693908200831e-11,1.61597245967584e-14,7.12053172995862e-11,5.23748216841365e-14,"Moderate correlation","Strong correlation",TRUE,0,0,0,0,0,0,3.91,"Inflammation","II",0,"PASS",150000,0.872122762148338,3,70,83,146,4,4,5,1.4720577,96,1.442,0.455225230258268,0.3577997780127,0.255775,0.255775,0.238909163199623,0.243881727120763,0.243881727120763,16.6741036754632,17.0260838757908,17.0260838757908,1.05286102971486,1.2627,1.2627,2.74720750302056,4.98280007723125,782,85698,"ALTERNATIVE PRODUCTS:  Event=Alternative splicing, Alternative initiation; Named isoforms=4; Name=1; Synonyms=Secreted, Plasma; IsoId=P06396-1; Sequence=Displayed; Name=2; Synonyms=Cytoplasmic; IsoId=P06396-2; Sequence=VSP_018959; Name=3; IsoId=P06396-3; Sequence=VSP_042879; Name=4; IsoId=P06396-4; Sequence=VSP_054791;",4,"Alternative splicing, Alternative initiation"
"P07358","C8B","Complement component C8 beta chain","OID30719","C8B","Inflammation II",88,0.700304235082318,0.712480622313127,3.11218170424954e-14,6.99166256928194e-15,8.59083898312402e-14,2.31483490930185e-14,"Strong correlation","Strong correlation",88,0.700304235082318,0.712480622313127,3.11218170424954e-14,6.99166256928194e-15,8.62564066253932e-14,2.32841606665077e-14,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,1.4378,"Inflammation","II",0,"PASS",10000,0.759729272419628,1,419,546.5,740,55,62,73,1.1450909,142,1.756,0.478280529716264,0.296631150956486,0.448925,0.448925,0.277407853656563,0.315581400919098,0.315581400919098,19.4075587110818,22.1387310878698,22.1387310878698,1.64171334492469,1.4738,1.4738,1.52984476004688,12.7853446024406,591,66948,"ALTERNATIVE PRODUCTS:",NA,NA
"P02748","C9","Complement component C9","OID30698","C9","Inflammation II",88,0.850163784297841,0.870557422144386,0,3.20730637870068e-28,0,4.52631112694134e-27,"Strong correlation","Strong correlation",88,0.850163784297841,0.870557422144386,0,3.20730637870068e-28,0,4.53604759273382e-27,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,4.8064,"Inflammation","II",0,"PASS",48000,0.83005366726297,4,359,517,670,47,58.5,66,1.1500946,147,1.505,0.483649435407071,0.538276107790436,0.71895,0.71895,0.394173053763061,0.494084046039416,0.494084046039416,27.8399041977479,35.2764680641467,35.2764680641467,1.59915965469537,2.01,2.01,1.04896105552463,30.8932373996078,559,63173,"ALTERNATIVE PRODUCTS:",NA,NA
"P00746","CFD","Complement factor D","OID30738","CFD","Inflammation II",88,0.69050051072523,0.771964550958722,0,1.31890425051139e-18,0,6.3095038085905e-18,"Moderate correlation","Strong correlation",88,0.69050051072523,0.771964550958722,0,1.31890425051139e-18,0,6.2995031965215e-18,"Moderate correlation","Strong correlation",TRUE,0,0,0,0,0,0,1.2495,"Inflammation","II",0,"PASS",2700,0.754940711462451,1,40,48,71,8,10,13,1.0442587,162,2.54,0.436518019622252,0.350083173831814,0.454825,0.454825,0.297483800842163,0.358445045314774,0.358445045314774,20.8411424883862,25.2339225455249,25.2339225455249,1.56889846888676,1.7625,1.7625,3.4776524379478,1.47046669462955,253,27033,"ALTERNATIVE PRODUCTS:",NA,NA
"P02786","TFRC","Transferrin receptor protein 1","OID20369","TFRC","Cardiometabolic",88,0.611126765524286,0.607533808452783,0,3.46872886825701e-10,0,7.99223447400442e-10,"Moderate correlation","Moderate correlation",88,0.611126765524286,0.607533808452783,0,3.46872886825701e-10,0,8.02005464444137e-10,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,3.2308,"Cardiometabolic","I",0,"PASS",73,0.480263157894737,4,85,96,110,34,37,38,1.0177327,156,1.5045,0.486875029140721,0.330018120708259,0.631,0.631,0.268631280796479,0.429639875793969,0.429639875793969,18.7826668720353,30.4530134712596,30.4530134712596,1.36806050050745,1.9,1.9,4.05416036310612,5.79819000844129,760,84871,"ALTERNATIVE PRODUCTS:",NA,NA
"P02749","APOH","Beta-2-glycoprotein 1","OID21072","APOH","Neurology",88,0.508435771899546,0.497213725011129,6.28387103674471e-07,8.31083814463359e-07,1.26012262886053e-06,1.5256806935433e-06,"Moderate correlation","Weak correlation",88,0.508435771899546,0.497213725011129,6.28387103674471e-07,8.31083814463359e-07,1.27546229965153e-06,1.53658790144414e-06,"Moderate correlation","Weak correlation",TRUE,0,0,0,0,0,0,1.9026,"Neurology","I",0,"PASS",54000,0.791304347826087,1,595,687.5,903,29,32,35,1.5584191,131,1.653,0.484421266722706,0.263173618034654,0.30245,0.30245,0.226499964506022,0.228109590463078,0.228109590463078,15.7970230839586,15.9106890671866,15.9106890671866,1.19585428460694,1.0697,1.0697,1.68258759200145,5.7539680701575,345,38298,"ALTERNATIVE PRODUCTS:",NA,NA
"P08185","SERPINA6","Corticosteroid-binding globulin","OID30743","SERPINA6","Inflammation II",88,0.596115829475634,0.713671299150101,8.92008076557699e-10,6.01685795357539e-15,2.25183393130196e-09,2.00977296733332e-14,"Moderate correlation","Strong correlation",88,0.596115829475634,0.713671299150101,8.92008076557699e-10,6.01685795357539e-15,2.25348760176457e-09,2.02020441356858e-14,"Moderate correlation","Strong correlation",TRUE,0,0,0,0,0,0,2.2236,"Inflammation","II",0,"PASS",22000,0.777777777777778,1,315,403,540,22,26.5,28,1.2027516,168,2.431,0.477884652046096,0.280223301848876,0.319975,0.319975,0.232087585638651,0.252431033814287,0.252431033814287,16.1917300660096,17.6319637841993,17.6319637841993,1.49318905334049,1.9591,1.9591,2.28960915176021,5.82767224142658,405,45141,"ALTERNATIVE PRODUCTS:",NA,NA
"P36955","SERPINF1","Pigment epithelium-derived factor","OID30757","SERPINF1","Inflammation II",88,0.602426825402416,0.641747571044722,2.20454568908892e-10,1.61280870236578e-11,5.72168294938251e-10,4.1010383445292e-11,"Moderate correlation","Moderate correlation",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0,0,0,0,0.8233,"Inflammation","II",0,"WARN",25000,0.818181818181818,1,270,327.5,406,31,37,44,1.109015,159,1.589,0.495169619018196,0.27080229140439,0.21065,NA,0.194477413965876,0.187274256467834,NA,13.5416179914746,13.0357375212422,NA,1.0583256192462,1.0458,NA,3.26471263233801,6.56006701146828,418,46312,"ALTERNATIVE PRODUCTS:",NA,NA
